industry_or_category,indicator,value,year,source_id
全国 / 企業規模計（10人以上） / 男女計,年齢,37.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,37.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,37.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,37.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,42.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,47.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,57.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,62.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,62.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,62.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,62.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,61.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,62.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,66.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,67.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,72.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,71.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,71.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,74.7,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,72.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,72.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,75.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,72.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,74.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,74.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,73.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.2,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,54.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,45.5,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.8,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,49.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,51.6,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,50.0,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,49.9,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,45.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,59.4,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,53.1,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,55.3,2009,estat-wage-structure
全国 / 企業規模計（10人以上） / 男女計,年齢,52.3,2009,estat-wage-structure
