industry_category,year,value,unit,gender,source_id
Ｈ運輸業，郵便業,2005,537665.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2010,601161.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2015,592433.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2020,694619.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2015,679169.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2020,812232.0,人,女,estat-national-census
Ｉ卸売業，小売業,1995,11918000.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2000,11394000.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2005,10760196.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2010,9804290.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2015,9001414.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2020,8805576.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2015,10296053.0,人,総数,estat-national-census
Ｉ卸売業，小売業,2020,10319934.0,人,総数,estat-national-census
Ｉ卸売業，小売業,1995,6412000.0,人,男,estat-national-census
Ｉ卸売業，小売業,2000,5932000.0,人,男,estat-national-census
Ｉ卸売業，小売業,2005,5454937.0,人,男,estat-national-census
Ｉ卸売業，小売業,2010,4847333.0,人,男,estat-national-census
Ｉ卸売業，小売業,2015,4288281.0,人,男,estat-national-census
Ｉ卸売業，小売業,2020,4122732.0,人,男,estat-national-census
Ｉ卸売業，小売業,2015,4935080.0,人,男,estat-national-census
Ｉ卸売業，小売業,2020,4868091.0,人,男,estat-national-census
Ｉ卸売業，小売業,1995,5506000.0,人,女,estat-national-census
Ｉ卸売業，小売業,2000,5462000.0,人,女,estat-national-census
Ｉ卸売業，小売業,2005,5305259.0,人,女,estat-national-census
Ｉ卸売業，小売業,2010,4956957.0,人,女,estat-national-census
Ｉ卸売業，小売業,2015,4713133.0,人,女,estat-national-census
Ｉ卸売業，小売業,2020,4682844.0,人,女,estat-national-census
Ｉ卸売業，小売業,2015,5360973.0,人,女,estat-national-census
Ｉ卸売業，小売業,2020,5451843.0,人,女,estat-national-census
Ｊ金融業，保険業,1995,1974000.0,人,総数,estat-national-census
Ｊ金融業，保険業,2000,1751000.0,人,総数,estat-national-census
Ｊ金融業，保険業,2005,1514281.0,人,総数,estat-national-census
Ｊ金融業，保険業,2010,1512975.0,人,総数,estat-national-census
Ｊ金融業，保険業,2015,1428710.0,人,総数,estat-national-census
Ｊ金融業，保険業,2020,1355161.0,人,総数,estat-national-census
Ｊ金融業，保険業,2015,1676789.0,人,総数,estat-national-census
Ｊ金融業，保険業,2020,1616884.0,人,総数,estat-national-census
Ｊ金融業，保険業,1995,943000.0,人,男,estat-national-census
Ｊ金融業，保険業,2000,853000.0,人,男,estat-national-census
Ｊ金融業，保険業,2005,732079.0,人,男,estat-national-census
Ｊ金融業，保険業,2010,688064.0,人,男,estat-national-census
Ｊ金融業，保険業,2015,639984.0,人,男,estat-national-census
Ｊ金融業，保険業,2020,583178.0,人,男,estat-national-census
Ｊ金融業，保険業,2015,756127.0,人,男,estat-national-census
Ｊ金融業，保険業,2020,702508.0,人,男,estat-national-census
Ｊ金融業，保険業,1995,1031000.0,人,女,estat-national-census
Ｊ金融業，保険業,2000,898000.0,人,女,estat-national-census
Ｊ金融業，保険業,2005,782202.0,人,女,estat-national-census
Ｊ金融業，保険業,2010,824911.0,人,女,estat-national-census
Ｊ金融業，保険業,2015,788726.0,人,女,estat-national-census
Ｊ金融業，保険業,2020,771983.0,人,女,estat-national-census
Ｊ金融業，保険業,2015,920662.0,人,女,estat-national-census
Ｊ金融業，保険業,2020,914376.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,1995,1043000.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2000,1065000.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2005,1117932.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2010,1113768.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2015,1197560.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2020,1253905.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2015,1430203.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,2020,1520345.0,人,総数,estat-national-census
Ｋ不動産業，物品賃貸業,1995,661000.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2000,667000.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2005,696261.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2010,683187.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2015,723088.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2020,734443.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2015,862373.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,2020,893339.0,人,男,estat-national-census
Ｋ不動産業，物品賃貸業,1995,382000.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2000,398000.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2005,421671.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2010,430581.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2015,474472.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2020,519462.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2015,567830.0,人,女,estat-national-census
Ｋ不動産業，物品賃貸業,2020,627006.0,人,女,estat-national-census
Ｌ学術研究，専門・技術サービス業,1995,1963000.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2000,1974000.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2005,1910478.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2010,1902215.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,1919125.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,2103074.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2015,2299386.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,2020,2561028.0,人,総数,estat-national-census
Ｌ学術研究，専門・技術サービス業,1995,1346000.0,人,男,estat-national-census
