value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,time,time_label,unit
41.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2009000000,2009年,歳
44.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2015000000,2015年,歳
44.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2014000000,2014年,歳
43.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2013000000,2013年,歳
43.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2012000000,2012年,歳
44.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2011000000,2011年,歳
43.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2010000000,2010年,歳
44.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210100,Ｅ１１ 繊維工業(平成21年以降),2009000000,2009年,歳
43.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2015000000,2015年,歳
43.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2014000000,2014年,歳
42.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2013000000,2013年,歳
42.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2012000000,2012年,歳
43.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2011000000,2011年,歳
43.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2010000000,2010年,歳
43.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210110,Ｅ１２ 木材・木製品製造業(家具を除く)(平成21年以降),2009000000,2009年,歳
42.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2015000000,2015年,歳
42.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2014000000,2014年,歳
41.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2013000000,2013年,歳
42.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2012000000,2012年,歳
43.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2011000000,2011年,歳
42.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2010000000,2010年,歳
43.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210120,Ｅ１３ 家具・装備品製造業(平成21年以降),2009000000,2009年,歳
41.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2015000000,2015年,歳
41.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2014000000,2014年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2013000000,2013年,歳
42.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2012000000,2012年,歳
41.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2011000000,2011年,歳
41.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2010000000,2010年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210130,Ｅ１４ パルプ・紙・紙加工品製造業(平成21年以降),2009000000,2009年,歳
41.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2015000000,2015年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2014000000,2014年,歳
40.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2013000000,2013年,歳
39.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2012000000,2012年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2011000000,2011年,歳
39.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2010000000,2010年,歳
40.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210140,Ｅ１５ 印刷・同関連業(平成21年以降),2009000000,2009年,歳
40.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2015000000,2015年,歳
40.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2014000000,2014年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2013000000,2013年,歳
40.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2012000000,2012年,歳
40.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2011000000,2011年,歳
40.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2010000000,2010年,歳
40.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210150,Ｅ１６ 化学工業(平成21年以降),2009000000,2009年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2015000000,2015年,歳
41.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2014000000,2014年,歳
43.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2013000000,2013年,歳
40.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2012000000,2012年,歳
39.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2011000000,2011年,歳
41.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2010000000,2010年,歳
42.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210160,Ｅ１７ 石油製品・石炭製品製造業(平成21年以降),2009000000,2009年,歳
41.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2015000000,2015年,歳
40.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2014000000,2014年,歳
40.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2013000000,2013年,歳
40.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2012000000,2012年,歳
40.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2011000000,2011年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2010000000,2010年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210170,Ｅ１８ プラスチック製品製造業(別掲を除く)(平成21年以降),2009000000,2009年,歳
40.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2015000000,2015年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2014000000,2014年,歳
40.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2013000000,2013年,歳
40.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2012000000,2012年,歳
39.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2011000000,2011年,歳
39.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2010000000,2010年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210180,Ｅ１９ ゴム製品製造業(平成21年以降),2009000000,2009年,歳
45.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2015000000,2015年,歳
44.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2014000000,2014年,歳
47.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2013000000,2013年,歳
46.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2012000000,2012年,歳
44.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2011000000,2011年,歳
46.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2010000000,2010年,歳
46.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210190,Ｅ２０ なめし革・同製品・毛皮製造業(平成21年以降),2009000000,2009年,歳
44.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2015000000,2015年,歳
43.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2014000000,2014年,歳
43.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2013000000,2013年,歳
43.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2012000000,2012年,歳
43.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2011000000,2011年,歳
44.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2010000000,2010年,歳
44.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210200,Ｅ２１ 窯業・土石製品製造業(平成21年以降),2009000000,2009年,歳
40.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2015000000,2015年,歳
40.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2014000000,2014年,歳
40.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2013000000,2013年,歳
40.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2012000000,2012年,歳
40.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2011000000,2011年,歳
40.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2010000000,2010年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210210,Ｅ２２ 鉄鋼業(平成21年以降),2009000000,2009年,歳
42.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2015000000,2015年,歳
40.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2014000000,2014年,歳
40.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2013000000,2013年,歳
40.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2012000000,2012年,歳
40.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2011000000,2011年,歳
41.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2010000000,2010年,歳
40.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210220,Ｅ２３ 非鉄金属製造業(平成21年以降),2009000000,2009年,歳
41.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210230,Ｅ２４ 金属製品製造業(平成21年以降),2015000000,2015年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210230,Ｅ２４ 金属製品製造業(平成21年以降),2014000000,2014年,歳
