value,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
770759,00110,発生件数_調査年前年,00100,出生,2023000000,2023年,件
811622,00110,発生件数_調査年前年,00100,出生,2022000000,2022年,件
840835,00110,発生件数_調査年前年,00100,出生,2021000000,2021年,件
865239,00110,発生件数_調査年前年,00100,出生,2020000000,2020年,件
918400,00110,発生件数_調査年前年,00100,出生,2019000000,2019年,件
946146,00110,発生件数_調査年前年,00100,出生,2018000000,2018年,件
977242,00110,発生件数_調査年前年,00100,出生,2017000000,2017年,件
1005721,00110,発生件数_調査年前年,00100,出生,2016000000,2016年,件
1003609,00110,発生件数_調査年前年,00100,出生,2015000000,2015年,件
372603,00110,発生件数_調査年前年,00110,出生_男,2024000000,2024年,件
395257,00110,発生件数_調査年前年,00110,出生_男,2023000000,2023年,件
415903,00110,発生件数_調査年前年,00110,出生_男,2022000000,2022年,件
430713,00110,発生件数_調査年前年,00110,出生_男,2021000000,2021年,件
443430,00110,発生件数_調査年前年,00110,出生_男,2020000000,2020年,件
470851,00110,発生件数_調査年前年,00110,出生_男,2019000000,2019年,件
484478,00110,発生件数_調査年前年,00110,出生_男,2018000000,2018年,件
502012,00110,発生件数_調査年前年,00110,出生_男,2017000000,2017年,件
515468,00110,発生件数_調査年前年,00110,出生_男,2016000000,2016年,件
515572,00110,発生件数_調査年前年,00110,出生_男,2015000000,2015年,件
354685,00110,発生件数_調査年前年,00120,出生_女,2024000000,2024年,件
375502,00110,発生件数_調査年前年,00120,出生_女,2023000000,2023年,件
395719,00110,発生件数_調査年前年,00120,出生_女,2022000000,2022年,件
410122,00110,発生件数_調査年前年,00120,出生_女,2021000000,2021年,件
421809,00110,発生件数_調査年前年,00120,出生_女,2020000000,2020年,件
447549,00110,発生件数_調査年前年,00120,出生_女,2019000000,2019年,件
461668,00110,発生件数_調査年前年,00120,出生_女,2018000000,2018年,件
475230,00110,発生件数_調査年前年,00120,出生_女,2017000000,2017年,件
490253,00110,発生件数_調査年前年,00120,出生_女,2016000000,2016年,件
488037,00110,発生件数_調査年前年,00120,出生_女,2015000000,2015年,件
1576016,00110,発生件数_調査年前年,00130,死亡,2024000000,2024年,件
1569050,00110,発生件数_調査年前年,00130,死亡,2023000000,2023年,件
1439856,00110,発生件数_調査年前年,00130,死亡,2022000000,2022年,件
1372755,00110,発生件数_調査年前年,00130,死亡,2021000000,2021年,件
1381093,00110,発生件数_調査年前年,00130,死亡,2020000000,2020年,件
1362470,00110,発生件数_調査年前年,00130,死亡,2019000000,2019年,件
1340567,00110,発生件数_調査年前年,00130,死亡,2018000000,2018年,件
1308158,00110,発生件数_調査年前年,00130,死亡,2017000000,2017年,件
1290510,00110,発生件数_調査年前年,00130,死亡,2016000000,2016年,件
1273025,00110,発生件数_調査年前年,00130,死亡,2015000000,2015年,件
802536,00110,発生件数_調査年前年,00140,死亡_男,2024000000,2024年,件
799420,00110,発生件数_調査年前年,00140,死亡_男,2023000000,2023年,件
738141,00110,発生件数_調査年前年,00140,死亡_男,2022000000,2022年,件
706834,00110,発生件数_調査年前年,00140,死亡_男,2021000000,2021年,件
707421,00110,発生件数_調査年前年,00140,死亡_男,2020000000,2020年,件
699138,00110,発生件数_調査年前年,00140,死亡_男,2019000000,2019年,件
690770,00110,発生件数_調査年前年,00140,死亡_男,2018000000,2018年,件
674946,00110,発生件数_調査年前年,00140,死亡_男,2017000000,2017年,件
666728,00110,発生件数_調査年前年,00140,死亡_男,2016000000,2016年,件
660340,00110,発生件数_調査年前年,00140,死亡_男,2015000000,2015年,件
773480,00110,発生件数_調査年前年,00150,死亡_女,2024000000,2024年,件
769630,00110,発生件数_調査年前年,00150,死亡_女,2023000000,2023年,件
701715,00110,発生件数_調査年前年,00150,死亡_女,2022000000,2022年,件
665921,00110,発生件数_調査年前年,00150,死亡_女,2021000000,2021年,件
673672,00110,発生件数_調査年前年,00150,死亡_女,2020000000,2020年,件
663332,00110,発生件数_調査年前年,00150,死亡_女,2019000000,2019年,件
649797,00110,発生件数_調査年前年,00150,死亡_女,2018000000,2018年,件
633212,00110,発生件数_調査年前年,00150,死亡_女,2017000000,2017年,件
623782,00110,発生件数_調査年前年,00150,死亡_女,2016000000,2016年,件
612685,00110,発生件数_調査年前年,00150,死亡_女,2015000000,2015年,件
1326,00110,発生件数_調査年前年,00160,乳児死亡数,2024000000,2024年,件
1356,00110,発生件数_調査年前年,00160,乳児死亡数,2023000000,2023年,件
