value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
7933,011,人口・５０－５４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
8088,011,人口・５０－５４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
8267,011,人口・５０－５４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
2617,011,人口・５０－５４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3547,011,人口・５０－５４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3926,011,人口・５０－５４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3997,011,人口・５０－５４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4091,011,人口・５０－５４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
3165,011,人口・５０－５４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3653,011,人口・５０－５４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4007,011,人口・５０－５４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4091,011,人口・５０－５４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4176,011,人口・５０－５４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4674,012,人口・５５－５９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
5614,012,人口・５５－５９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
7000,012,人口・５５－５９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
7725,012,人口・５５－５９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
7877,012,人口・５５－５９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
2073,012,人口・５５－５９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
2511,012,人口・５５－５９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
