value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
11,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2024000000,2024年
140,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2024000000,2024年
118,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2024000000,2024年
485,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2024000000,2024年
11389,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2024000000,2024年
46,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2024000000,2024年
95,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2024000000,2024年
235,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2024000000,2024年
7,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2024000000,2024年
18,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2024000000,2024年
162,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2024000000,2024年
155,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2024000000,2024年
67,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2024000000,2024年
101,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2024000000,2024年
1074,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2024000000,2024年
490,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2024000000,2024年
2878,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2024000000,2024年
1663,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2024000000,2024年
12,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2024000000,2024年
10,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2024000000,2024年
26,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2024000000,2024年
