value,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43000,熊本県,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B01,熊本県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B02,熊本県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B03,熊本県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B04,熊本県　町村,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B10,熊本県　熊本中央・阿蘇,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B20,熊本県　有明・鹿本,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B30,熊本県　八代・水俣・芦北,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B40,熊本県　人吉・球磨,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,43B50,熊本県　天草,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44000,大分県,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B01,大分県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B02,大分県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B03,大分県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B04,大分県　町村,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B10,大分県　別杵国東,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,44B20,大分県　大分臼津,1997000000,1997年
