value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
105.7,017,17歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2068,018,18歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1059,018,18歳,002,総人口・男,00000,全国,1991000000,1991年,千人
1009,018,18歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.0,018,18歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2054,018,18歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1052,018,18歳,006,日本人・男,00000,全国,1991000000,1991年,千人
1002,018,18歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,018,18歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2024,019,19歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1037,019,19歳,002,総人口・男,00000,全国,1991000000,1991年,千人
987,019,19歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.1,019,19歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2008,019,19歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1029,019,19歳,006,日本人・男,00000,全国,1991000000,1991年,千人
979,019,19歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.1,019,19歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1976,020,20歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1009,020,20歳,002,総人口・男,00000,全国,1991000000,1991年,千人
966,020,20歳,003,総人口・女,00000,全国,1991000000,1991年,千人
104.4,020,20歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1956,020,20歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1000,020,20歳,006,日本人・男,00000,全国,1991000000,1991年,千人
957,020,20歳,007,日本人・女,00000,全国,1991000000,1991年,千人
104.5,020,20歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1911,021,21歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
977,021,21歳,002,総人口・男,00000,全国,1991000000,1991年,千人
934,021,21歳,003,総人口・女,00000,全国,1991000000,1991年,千人
104.6,021,21歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1889,021,21歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
967,021,21歳,006,日本人・男,00000,全国,1991000000,1991年,千人
922,021,21歳,007,日本人・女,00000,全国,1991000000,1991年,千人
104.8,021,21歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1865,022,22歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
949,022,22歳,002,総人口・男,00000,全国,1991000000,1991年,千人
916,022,22歳,003,総人口・女,00000,全国,1991000000,1991年,千人
103.6,022,22歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1840,022,22歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
937,022,22歳,006,日本人・男,00000,全国,1991000000,1991年,千人
903,022,22歳,007,日本人・女,00000,全国,1991000000,1991年,千人
103.8,022,22歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
