value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
241,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2023100000,2023年度,戸・件
691,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2023100000,2023年度,戸・件
241,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2023100000,2023年度,戸・件
371,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2023100000,2023年度,戸・件
369,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2023100000,2023年度,戸・件
827,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2023100000,2023年度,戸・件
543,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2023100000,2023年度,戸・件
447,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2023100000,2023年度,戸・件
2207,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2023100000,2023年度,戸・件
1054,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2023100000,2023年度,戸・件
6253,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2023100000,2023年度,戸・件
3402,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2023100000,2023年度,戸・件
420,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2023100000,2023年度,戸・件
74,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2023100000,2023年度,戸・件
88,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2023100000,2023年度,戸・件
109,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2023100000,2023年度,戸・件
119,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2023100000,2023年度,戸・件
424,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2023100000,2023年度,戸・件
353,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2023100000,2023年度,戸・件
663,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2023100000,2023年度,戸・件
1784,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2023100000,2023年度,戸・件
207,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2023100000,2023年度,戸・件
309,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2023100000,2023年度,戸・件
463,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2023100000,2023年度,戸・件
1131,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2023100000,2023年度,戸・件
1030,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2023100000,2023年度,戸・件
325,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2023100000,2023年度,戸・件
84,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2023100000,2023年度,戸・件
15,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2023100000,2023年度,戸・件
71,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2023100000,2023年度,戸・件
