value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
840,2,勤労者世帯,001,平均,00082,主食的調理食品,00000,全国,1984000000,1984年
977,2,勤労者世帯,001,平均,00082,主食的調理食品,00415,3大都市圏平均,1984000000,1984年
2655,2,勤労者世帯,001,平均,00083,他の調理食品,00000,全国,1984000000,1984年
2965,2,勤労者世帯,001,平均,00083,他の調理食品,00415,3大都市圏平均,1984000000,1984年
2396,2,勤労者世帯,001,平均,00084,飲料,00000,全国,1984000000,1984年
2543,2,勤労者世帯,001,平均,00084,飲料,00415,3大都市圏平均,1984000000,1984年
394,2,勤労者世帯,001,平均,00085,茶類,00000,全国,1984000000,1984年
450,2,勤労者世帯,001,平均,00085,茶類,00415,3大都市圏平均,1984000000,1984年
515,2,勤労者世帯,001,平均,00086,コーヒー・ココア,00000,全国,1984000000,1984年
569,2,勤労者世帯,001,平均,00086,コーヒー・ココア,00415,3大都市圏平均,1984000000,1984年
1487,2,勤労者世帯,001,平均,00087,他の飲料,00000,全国,1984000000,1984年
1524,2,勤労者世帯,001,平均,00087,他の飲料,00415,3大都市圏平均,1984000000,1984年
3508,2,勤労者世帯,001,平均,00088,酒類,00000,全国,1984000000,1984年
3755,2,勤労者世帯,001,平均,00088,酒類,00415,3大都市圏平均,1984000000,1984年
12713,2,勤労者世帯,001,平均,00089,外食,00000,全国,1984000000,1984年
14298,2,勤労者世帯,001,平均,00089,外食,00415,3大都市圏平均,1984000000,1984年
10734,2,勤労者世帯,001,平均,00090,一般外食,00000,全国,1984000000,1984年
12474,2,勤労者世帯,001,平均,00090,一般外食,00415,3大都市圏平均,1984000000,1984年
1980,2,勤労者世帯,001,平均,00091,学校給食,00000,全国,1984000000,1984年
1824,2,勤労者世帯,001,平均,00091,学校給食,00415,3大都市圏平均,1984000000,1984年
12631,2,勤労者世帯,001,平均,00092,住居,00000,全国,1984000000,1984年
14600,2,勤労者世帯,001,平均,00092,住居,00415,3大都市圏平均,1984000000,1984年
7836,2,勤労者世帯,001,平均,00093,家賃・地代,00000,全国,1984000000,1984年
10195,2,勤労者世帯,001,平均,00093,家賃・地代,00415,3大都市圏平均,1984000000,1984年
4795,2,勤労者世帯,001,平均,00094,設備修繕・維持,00000,全国,1984000000,1984年
4405,2,勤労者世帯,001,平均,00094,設備修繕・維持,00415,3大都市圏平均,1984000000,1984年
855,2,勤労者世帯,001,平均,00095,設備材料,00000,全国,1984000000,1984年
769,2,勤労者世帯,001,平均,00095,設備材料,00415,3大都市圏平均,1984000000,1984年
3940,2,勤労者世帯,001,平均,00096,工事その他のサービス,00000,全国,1984000000,1984年
3636,2,勤労者世帯,001,平均,00096,工事その他のサービス,00415,3大都市圏平均,1984000000,1984年
15413,2,勤労者世帯,001,平均,00097,光熱・水道,00000,全国,1984000000,1984年
15968,2,勤労者世帯,001,平均,00097,光熱・水道,00415,3大都市圏平均,1984000000,1984年
6761,2,勤労者世帯,001,平均,00098,電気代,00000,全国,1984000000,1984年
6949,2,勤労者世帯,001,平均,00098,電気代,00415,3大都市圏平均,1984000000,1984年
4408,2,勤労者世帯,001,平均,00099,ガス代,00000,全国,1984000000,1984年
4899,2,勤労者世帯,001,平均,00099,ガス代,00415,3大都市圏平均,1984000000,1984年
1332,2,勤労者世帯,001,平均,00100,他の光熱,00000,全国,1984000000,1984年
680,2,勤労者世帯,001,平均,00100,他の光熱,00415,3大都市圏平均,1984000000,1984年
2913,2,勤労者世帯,001,平均,00101,水道料,00000,全国,1984000000,1984年
3440,2,勤労者世帯,001,平均,00101,水道料,00415,3大都市圏平均,1984000000,1984年
11228,2,勤労者世帯,001,平均,00102,家具・家事用品,00000,全国,1984000000,1984年
11465,2,勤労者世帯,001,平均,00102,家具・家事用品,00415,3大都市圏平均,1984000000,1984年
3949,2,勤労者世帯,001,平均,00103,家庭用耐久財,00000,全国,1984000000,1984年
4092,2,勤労者世帯,001,平均,00103,家庭用耐久財,00415,3大都市圏平均,1984000000,1984年
