value,cat01,cat01_label,area,area_label,time,time_label
-0.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30000808,2018年8月
-5.6,10900,前年（度、同期、同月）比（％）,00042,北海道,30000909,2018年9月
-2.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30001010,2018年10月
-0.2,10900,前年（度、同期、同月）比（％）,00042,北海道,30001111,2018年11月
0.9,10900,前年（度、同期、同月）比（％）,00042,北海道,30001212,2018年12月
-2.3,10900,前年（度、同期、同月）比（％）,00043,東北,28000000,2016年
0.3,10900,前年（度、同期、同月）比（％）,00043,東北,29000000,2017年
3.9,10900,前年（度、同期、同月）比（％）,00043,東北,30000000,2018年
-1.2,10900,前年（度、同期、同月）比（％）,00043,東北,28010000,2016年度
-0.2,10900,前年（度、同期、同月）比（％）,00043,東北,29010000,2017年度
-0.4,10900,前年（度、同期、同月）比（％）,00043,東北,30000103,2018年 1 ～ 3 月
2.6,10900,前年（度、同期、同月）比（％）,00043,東北,30000406,2018年 4 ～ 6 月
6,10900,前年（度、同期、同月）比（％）,00043,東北,30000709,2018年 7 ～ 9 月
7.2,10900,前年（度、同期、同月）比（％）,00043,東北,30001012,2018年10～12月
-1.8,10900,前年（度、同期、同月）比（％）,00043,東北,30000101,2018年1月
-3.1,10900,前年（度、同期、同月）比（％）,00043,東北,30000202,2018年2月
3.3,10900,前年（度、同期、同月）比（％）,00043,東北,30000303,2018年3月
3.7,10900,前年（度、同期、同月）比（％）,00043,東北,30000404,2018年4月
0.7,10900,前年（度、同期、同月）比（％）,00043,東北,30000505,2018年5月
3.4,10900,前年（度、同期、同月）比（％）,00043,東北,30000606,2018年6月
3.5,10900,前年（度、同期、同月）比（％）,00043,東北,30000707,2018年7月
7.5,10900,前年（度、同期、同月）比（％）,00043,東北,30000808,2018年8月
7.3,10900,前年（度、同期、同月）比（％）,00043,東北,30000909,2018年9月
8.3,10900,前年（度、同期、同月）比（％）,00043,東北,30001010,2018年10月
7.1,10900,前年（度、同期、同月）比（％）,00043,東北,30001111,2018年11月
6.4,10900,前年（度、同期、同月）比（％）,00043,東北,30001212,2018年12月
-2.6,10900,前年（度、同期、同月）比（％）,00044,関東,28000000,2016年
0.2,10900,前年（度、同期、同月）比（％）,00044,関東,29000000,2017年
4,10900,前年（度、同期、同月）比（％）,00044,関東,30000000,2018年
-2.7,10900,前年（度、同期、同月）比（％）,00044,関東,28010000,2016年度
1.7,10900,前年（度、同期、同月）比（％）,00044,関東,29010000,2017年度
3.8,10900,前年（度、同期、同月）比（％）,00044,関東,30000103,2018年 1 ～ 3 月
3.2,10900,前年（度、同期、同月）比（％）,00044,関東,30000406,2018年 4 ～ 6 月
4.8,10900,前年（度、同期、同月）比（％）,00044,関東,30000709,2018年 7 ～ 9 月
4.2,10900,前年（度、同期、同月）比（％）,00044,関東,30001012,2018年10～12月
3.7,10900,前年（度、同期、同月）比（％）,00044,関東,30000101,2018年1月
