value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
5905,004,従業者数　総数,009,014園芸サービス業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
2400,004,従業者数　総数,009,014園芸サービス業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
21410,004,従業者数　総数,009,014園芸サービス業,001,民営,000,総数,00000,全国,2009000000,2009年
3949,004,従業者数　総数,009,014園芸サービス業,001,民営,003,有給役員,00000,全国,2009000000,2009年
15066,004,従業者数　総数,009,014園芸サービス業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
9163,004,従業者数　総数,009,014園芸サービス業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
5903,004,従業者数　総数,009,014園芸サービス業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
2395,004,従業者数　総数,009,014園芸サービス業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
61144,004,従業者数　総数,010,02林業,000,総数,000,総数,00000,全国,2009000000,2009年
11650,004,従業者数　総数,010,02林業,000,総数,003,有給役員,00000,全国,2009000000,2009年
42710,004,従業者数　総数,010,02林業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
31503,004,従業者数　総数,010,02林業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
11207,004,従業者数　総数,010,02林業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
6784,004,従業者数　総数,010,02林業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
52721,004,従業者数　総数,010,02林業,001,民営,000,総数,00000,全国,2009000000,2009年
11650,004,従業者数　総数,010,02林業,001,民営,003,有給役員,00000,全国,2009000000,2009年
34750,004,従業者数　総数,010,02林業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
25191,004,従業者数　総数,010,02林業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
9559,004,従業者数　総数,010,02林業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
6321,004,従業者数　総数,010,02林業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
359,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,000,総数,00000,全国,2009000000,2009年
140,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,003,有給役員,00000,全国,2009000000,2009年
218,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
181,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
37,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
1,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
358,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,000,総数,00000,全国,2009000000,2009年
140,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,003,有給役員,00000,全国,2009000000,2009年
217,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
180,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
37,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
1,004,従業者数　総数,011,020管理，補助的経済活動を行う事業所,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
44464,004,従業者数　総数,012,021育林業,000,総数,000,総数,00000,全国,2009000000,2009年
8379,004,従業者数　総数,012,021育林業,000,総数,003,有給役員,00000,全国,2009000000,2009年
30931,004,従業者数　総数,012,021育林業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
22809,004,従業者数　総数,012,021育林業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
8122,004,従業者数　総数,012,021育林業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
5154,004,従業者数　総数,012,021育林業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
36048,004,従業者数　総数,012,021育林業,001,民営,000,総数,00000,全国,2009000000,2009年
8379,004,従業者数　総数,012,021育林業,001,民営,003,有給役員,00000,全国,2009000000,2009年
22976,004,従業者数　総数,012,021育林業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
16499,004,従業者数　総数,012,021育林業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
6477,004,従業者数　総数,012,021育林業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
4693,004,従業者数　総数,012,021育林業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
4693,004,従業者数　総数,013,022素材生産業,000,総数,000,総数,00000,全国,2009000000,2009年
898,004,従業者数　総数,013,022素材生産業,000,総数,003,有給役員,00000,全国,2009000000,2009年
3374,004,従業者数　総数,013,022素材生産業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
2690,004,従業者数　総数,013,022素材生産業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
684,004,従業者数　総数,013,022素材生産業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
421,004,従業者数　総数,013,022素材生産業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
4693,004,従業者数　総数,013,022素材生産業,001,民営,000,総数,00000,全国,2009000000,2009年
898,004,従業者数　総数,013,022素材生産業,001,民営,003,有給役員,00000,全国,2009000000,2009年
3374,004,従業者数　総数,013,022素材生産業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
