value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
262,002,事業所数（事業内容等不詳を含む）,001,総数,01519,利尻富士町,2009000000,2009年
6529,002,事業所数（事業内容等不詳を含む）,001,総数,01540,網走支庁,2009000000,2009年
1030,002,事業所数（事業内容等不詳を含む）,001,総数,01543,美幌町,2009000000,2009年
317,002,事業所数（事業内容等不詳を含む）,001,総数,01544,津別町,2009000000,2009年
833,002,事業所数（事業内容等不詳を含む）,001,総数,01545,斜里町,2009000000,2009年
222,002,事業所数（事業内容等不詳を含む）,001,総数,01546,清里町,2009000000,2009年
360,002,事業所数（事業内容等不詳を含む）,001,総数,01547,小清水町,2009000000,2009年
224,002,事業所数（事業内容等不詳を含む）,001,総数,01549,訓子府町,2009000000,2009年
194,002,事業所数（事業内容等不詳を含む）,001,総数,01550,置戸町,2009000000,2009年
333,002,事業所数（事業内容等不詳を含む）,001,総数,01552,佐呂間町,2009000000,2009年
1163,002,事業所数（事業内容等不詳を含む）,001,総数,01555,遠軽町,2009000000,2009年
321,002,事業所数（事業内容等不詳を含む）,001,総数,01558,上湧別町,2009000000,2009年
214,002,事業所数（事業内容等不詳を含む）,001,総数,01559,湧別町,2009000000,2009年
229,002,事業所数（事業内容等不詳を含む）,001,総数,01560,滝上町,2009000000,2009年
254,002,事業所数（事業内容等不詳を含む）,001,総数,01561,興部町,2009000000,2009年
93,002,事業所数（事業内容等不詳を含む）,001,総数,01562,西興部村,2009000000,2009年
321,002,事業所数（事業内容等不詳を含む）,001,総数,01563,雄武町,2009000000,2009年
421,002,事業所数（事業内容等不詳を含む）,001,総数,01564,大空町,2009000000,2009年
3262,002,事業所数（事業内容等不詳を含む）,001,総数,01570,胆振支庁,2009000000,2009年
276,002,事業所数（事業内容等不詳を含む）,001,総数,01571,豊浦町,2009000000,2009年
173,002,事業所数（事業内容等不詳を含む）,001,総数,01575,壮瞥町,2009000000,2009年
967,002,事業所数（事業内容等不詳を含む）,001,総数,01578,白老町,2009000000,2009年
263,002,事業所数（事業内容等不詳を含む）,001,総数,01581,厚真町,2009000000,2009年
638,002,事業所数（事業内容等不詳を含む）,001,総数,01584,洞爺湖町,2009000000,2009年
419,002,事業所数（事業内容等不詳を含む）,001,総数,01585,安平町,2009000000,2009年
526,002,事業所数（事業内容等不詳を含む）,001,総数,01586,むかわ町,2009000000,2009年
4859,002,事業所数（事業内容等不詳を含む）,001,総数,01600,日高支庁,2009000000,2009年
879,002,事業所数（事業内容等不詳を含む）,001,総数,01601,日高町,2009000000,2009年
366,002,事業所数（事業内容等不詳を含む）,001,総数,01602,平取町,2009000000,2009年
372,002,事業所数（事業内容等不詳を含む）,001,総数,01604,新冠町,2009000000,2009年
1027,002,事業所数（事業内容等不詳を含む）,001,総数,01607,浦河町,2009000000,2009年
316,002,事業所数（事業内容等不詳を含む）,001,総数,01608,様似町,2009000000,2009年
310,002,事業所数（事業内容等不詳を含む）,001,総数,01609,えりも町,2009000000,2009年
1589,002,事業所数（事業内容等不詳を含む）,001,総数,01610,新ひだか町,2009000000,2009年
