value,tab,tab_label,cat01,cat01_label,time,time_label
319,831,事業所数（事業内容等不詳を含む）,01458,東川町,2012000000,2012年
487,831,事業所数（事業内容等不詳を含む）,01459,美瑛町,2012000000,2012年
535,831,事業所数（事業内容等不詳を含む）,01460,上富良野町,2012000000,2012年
154,831,事業所数（事業内容等不詳を含む）,01461,中富良野町,2012000000,2012年
136,831,事業所数（事業内容等不詳を含む）,01462,南富良野町,2012000000,2012年
68,831,事業所数（事業内容等不詳を含む）,01463,占冠村,2012000000,2012年
194,831,事業所数（事業内容等不詳を含む）,01464,和寒町,2012000000,2012年
156,831,事業所数（事業内容等不詳を含む）,01465,剣淵町,2012000000,2012年
197,831,事業所数（事業内容等不詳を含む）,01468,下川町,2012000000,2012年
279,831,事業所数（事業内容等不詳を含む）,01469,美深町,2012000000,2012年
55,831,事業所数（事業内容等不詳を含む）,01470,音威子府村,2012000000,2012年
124,831,事業所数（事業内容等不詳を含む）,01471,中川町,2012000000,2012年
108,831,事業所数（事業内容等不詳を含む）,01472,幌加内町,2012000000,2012年
1544,831,事業所数（事業内容等不詳を含む）,01480,留萌振興局,2012000000,2012年
230,831,事業所数（事業内容等不詳を含む）,01481,増毛町,2012000000,2012年
156,831,事業所数（事業内容等不詳を含む）,01482,小平町,2012000000,2012年
177,831,事業所数（事業内容等不詳を含む）,01483,苫前町,2012000000,2012年
510,831,事業所数（事業内容等不詳を含む）,01484,羽幌町,2012000000,2012年
72,831,事業所数（事業内容等不詳を含む）,01485,初山別村,2012000000,2012年
190,831,事業所数（事業内容等不詳を含む）,01486,遠別町,2012000000,2012年
209,831,事業所数（事業内容等不詳を含む）,01487,天塩町,2012000000,2012年
1947,831,事業所数（事業内容等不詳を含む）,01510,宗谷総合振興局,2012000000,2012年
113,831,事業所数（事業内容等不詳を含む）,01511,猿払村,2012000000,2012年
222,831,事業所数（事業内容等不詳を含む）,01512,浜頓別町,2012000000,2012年
109,831,事業所数（事業内容等不詳を含む）,01513,中頓別町,2012000000,2012年
488,831,事業所数（事業内容等不詳を含む）,01514,枝幸町,2012000000,2012年
247,831,事業所数（事業内容等不詳を含む）,01516,豊富町,2012000000,2012年
215,831,事業所数（事業内容等不詳を含む）,01517,礼文町,2012000000,2012年
183,831,事業所数（事業内容等不詳を含む）,01518,利尻町,2012000000,2012年
201,831,事業所数（事業内容等不詳を含む）,01519,利尻富士町,2012000000,2012年
169,831,事業所数（事業内容等不詳を含む）,01520,幌延町,2012000000,2012年
5557,831,事業所数（事業内容等不詳を含む）,01540,オホーツク総合振興局,2012000000,2012年
936,831,事業所数（事業内容等不詳を含む）,01543,美幌町,2012000000,2012年
266,831,事業所数（事業内容等不詳を含む）,01544,津別町,2012000000,2012年
718,831,事業所数（事業内容等不詳を含む）,01545,斜里町,2012000000,2012年
179,831,事業所数（事業内容等不詳を含む）,01546,清里町,2012000000,2012年
306,831,事業所数（事業内容等不詳を含む）,01547,小清水町,2012000000,2012年
193,831,事業所数（事業内容等不詳を含む）,01549,訓子府町,2012000000,2012年
169,831,事業所数（事業内容等不詳を含む）,01550,置戸町,2012000000,2012年
279,831,事業所数（事業内容等不詳を含む）,01552,佐呂間町,2012000000,2012年
998,831,事業所数（事業内容等不詳を含む）,01555,遠軽町,2012000000,2012年
466,831,事業所数（事業内容等不詳を含む）,01559,湧別町,2012000000,2012年
158,831,事業所数（事業内容等不詳を含む）,01560,滝上町,2012000000,2012年
208,831,事業所数（事業内容等不詳を含む）,01561,興部町,2012000000,2012年
59,831,事業所数（事業内容等不詳を含む）,01562,西興部村,2012000000,2012年
251,831,事業所数（事業内容等不詳を含む）,01563,雄武町,2012000000,2012年
371,831,事業所数（事業内容等不詳を含む）,01564,大空町,2012000000,2012年
2794,831,事業所数（事業内容等不詳を含む）,01570,胆振総合振興局,2012000000,2012年
230,831,事業所数（事業内容等不詳を含む）,01571,豊浦町,2012000000,2012年
142,831,事業所数（事業内容等不詳を含む）,01575,壮瞥町,2012000000,2012年
843,831,事業所数（事業内容等不詳を含む）,01578,白老町,2012000000,2012年
219,831,事業所数（事業内容等不詳を含む）,01581,厚真町,2012000000,2012年
533,831,事業所数（事業内容等不詳を含む）,01584,洞爺湖町,2012000000,2012年
360,831,事業所数（事業内容等不詳を含む）,01585,安平町,2012000000,2012年
467,831,事業所数（事業内容等不詳を含む）,01586,むかわ町,2012000000,2012年
4069,831,事業所数（事業内容等不詳を含む）,01600,日高振興局,2012000000,2012年
733,831,事業所数（事業内容等不詳を含む）,01601,日高町,2012000000,2012年
293,831,事業所数（事業内容等不詳を含む）,01602,平取町,2012000000,2012年
314,831,事業所数（事業内容等不詳を含む）,01604,新冠町,2012000000,2012年
