value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
91,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,14100,横浜市,2016000000,2016年
33,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,14130,川崎市,2016000000,2016年
8,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,14150,相模原市,2016000000,2016年
49,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,15000,新潟県,2016000000,2016年
29,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,15100,新潟市,2016000000,2016年
23,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,16000,富山県,2016000000,2016年
35,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,17000,石川県,2016000000,2016年
25,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,18000,福井県,2016000000,2016年
16,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,19000,山梨県,2016000000,2016年
57,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,20000,長野県,2016000000,2016年
26,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,21000,岐阜県,2016000000,2016年
76,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,22000,静岡県,2016000000,2016年
21,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,22100,静岡市,2016000000,2016年
25,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,22130,浜松市,2016000000,2016年
226,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,23000,愛知県,2016000000,2016年
184,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,23100,名古屋市,2016000000,2016年
22,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,24000,三重県,2016000000,2016年
12,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,25000,滋賀県,2016000000,2016年
45,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,26000,京都府,2016000000,2016年
33,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,26100,京都市,2016000000,2016年
323,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,27000,大阪府,2016000000,2016年
265,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,27100,大阪市,2016000000,2016年
13,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,27140,堺市,2016000000,2016年
117,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,28000,兵庫県,2016000000,2016年
57,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,28100,神戸市,2016000000,2016年
9,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,29000,奈良県,2016000000,2016年
14,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,30000,和歌山県,2016000000,2016年
10,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,31000,鳥取県,2016000000,2016年
9,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,32000,島根県,2016000000,2016年
37,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,33000,岡山県,2016000000,2016年
29,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,33100,岡山市,2016000000,2016年
77,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,34000,広島県,2016000000,2016年
59,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,34100,広島市,2016000000,2016年
21,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,35000,山口県,2016000000,2016年
13,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,36000,徳島県,2016000000,2016年
19,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,37000,香川県,2016000000,2016年
34,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,38000,愛媛県,2016000000,2016年
16,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,39000,高知県,2016000000,2016年
181,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,40000,福岡県,2016000000,2016年
27,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,40100,北九州市,2016000000,2016年
131,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,40130,福岡市,2016000000,2016年
6,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,41000,佐賀県,2016000000,2016年
21,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,42000,長崎県,2016000000,2016年
31,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,43000,熊本県,2016000000,2016年
22,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,43100,熊本市,2016000000,2016年
18,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,44000,大分県,2016000000,2016年
22,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,45000,宮崎県,2016000000,2016年
23,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,46000,鹿児島県,2016000000,2016年
48,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,47000,沖縄県,2016000000,2016年
4607,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,00000,全国,2016000000,2016年
144,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,01000,北海道,2016000000,2016年
130,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,01100,札幌市,2016000000,2016年
16,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,02000,青森県,2016000000,2016年
22,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,03000,岩手県,2016000000,2016年
98,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,04000,宮城県,2016000000,2016年
93,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,04100,仙台市,2016000000,2016年
11,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,05000,秋田県,2016000000,2016年
17,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,06000,山形県,2016000000,2016年
25,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,07000,福島県,2016000000,2016年
73,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,08000,茨城県,2016000000,2016年
32,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,09000,栃木県,2016000000,2016年
49,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,10000,群馬県,2016000000,2016年
80,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,11000,埼玉県,2016000000,2016年
30,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,11100,さいたま市,2016000000,2016年
70,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,12000,千葉県,2016000000,2016年
32,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,12100,千葉市,2016000000,2016年
1568,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,13000,東京都,2016000000,2016年
1452,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,13100,特別区部,2016000000,2016年
306,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,14000,神奈川県,2016000000,2016年
197,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,14100,横浜市,2016000000,2016年
54,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,14130,川崎市,2016000000,2016年
11,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,14150,相模原市,2016000000,2016年
68,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,15000,新潟県,2016000000,2016年
46,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,15100,新潟市,2016000000,2016年
30,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,16000,富山県,2016000000,2016年
37,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,17000,石川県,2016000000,2016年
21,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,18000,福井県,2016000000,2016年
20,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,19000,山梨県,2016000000,2016年
57,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,20000,長野県,2016000000,2016年
28,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,21000,岐阜県,2016000000,2016年
123,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,22000,静岡県,2016000000,2016年
33,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,22100,静岡市,2016000000,2016年
38,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,22130,浜松市,2016000000,2016年
291,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,23000,愛知県,2016000000,2016年
234,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,23100,名古屋市,2016000000,2016年
30,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,24000,三重県,2016000000,2016年
15,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,25000,滋賀県,2016000000,2016年
68,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,26000,京都府,2016000000,2016年
61,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,26100,京都市,2016000000,2016年
510,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,27000,大阪府,2016000000,2016年
455,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,27100,大阪市,2016000000,2016年
4,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,27140,堺市,2016000000,2016年
107,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,28000,兵庫県,2016000000,2016年
60,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,28100,神戸市,2016000000,2016年
6,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,29000,奈良県,2016000000,2016年
6,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,30000,和歌山県,2016000000,2016年
12,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,31000,鳥取県,2016000000,2016年
16,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,32000,島根県,2016000000,2016年
44,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,33000,岡山県,2016000000,2016年
35,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,33100,岡山市,2016000000,2016年
87,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,34000,広島県,2016000000,2016年
67,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,34100,広島市,2016000000,2016年
26,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,35000,山口県,2016000000,2016年
8,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,36000,徳島県,2016000000,2016年
32,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,37000,香川県,2016000000,2016年
31,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,38000,愛媛県,2016000000,2016年
13,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,39000,高知県,2016000000,2016年
242,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,40000,福岡県,2016000000,2016年
29,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,40100,北九州市,2016000000,2016年
192,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,40130,福岡市,2016000000,2016年
8,811,事業所数,09910,391ソフトウェア業,040,従業者規模 10～29人,41000,佐賀県,2016000000,2016年
