value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
370,811,事業所数,150,5000m2以上1万m2未満,02280,11繊維工業,2016000000,2016年
114,811,事業所数,150,5000m2以上1万m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
113,811,事業所数,150,5000m2以上1万m2未満,03310,13家具・装備品製造業,2016000000,2016年
300,811,事業所数,150,5000m2以上1万m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
344,811,事業所数,150,5000m2以上1万m2未満,03730,15印刷・同関連業,2016000000,2016年
271,811,事業所数,150,5000m2以上1万m2未満,03880,16化学工業,2016000000,2016年
7,811,事業所数,150,5000m2以上1万m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
595,811,事業所数,150,5000m2以上1万m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
109,811,事業所数,150,5000m2以上1万m2未満,04860,19ゴム製品製造業,2016000000,2016年
30,811,事業所数,150,5000m2以上1万m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
181,811,事業所数,150,5000m2以上1万m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
169,811,事業所数,150,5000m2以上1万m2未満,05870,22鉄鋼業,2016000000,2016年
124,811,事業所数,150,5000m2以上1万m2未満,06210,23非鉄金属製造業,2016000000,2016年
922,811,事業所数,150,5000m2以上1万m2未満,06490,24金属製品製造業,2016000000,2016年
362,811,事業所数,150,5000m2以上1万m2未満,06950,25はん用機械器具製造業,2016000000,2016年
881,811,事業所数,150,5000m2以上1万m2未満,07220,26生産用機械器具製造業,2016000000,2016年
218,811,事業所数,150,5000m2以上1万m2未満,07600,27業務用機械器具製造業,2016000000,2016年
280,811,事業所数,150,5000m2以上1万m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
487,811,事業所数,150,5000m2以上1万m2未満,08180,29電気機械器具製造業,2016000000,2016年
88,811,事業所数,150,5000m2以上1万m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
702,811,事業所数,150,5000m2以上1万m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
163,811,事業所数,150,5000m2以上1万m2未満,09010,32その他の製造業,2016000000,2016年
11426,811,事業所数,160,1万m2以上3万m2未満,01490,E製造業,2016000000,2016年
1763,811,事業所数,160,1万m2以上3万m2未満,01500,09食料品製造業,2016000000,2016年
237,811,事業所数,160,1万m2以上3万m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
387,811,事業所数,160,1万m2以上3万m2未満,02280,11繊維工業,2016000000,2016年
223,811,事業所数,160,1万m2以上3万m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
176,811,事業所数,160,1万m2以上3万m2未満,03310,13家具・装備品製造業,2016000000,2016年
472,811,事業所数,160,1万m2以上3万m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
