value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
1411953,050001000,計,006010,転炉,020040,特殊鋼 (t),0024000606,平成24年6月
1502497,050001000,計,006010,転炉,020040,特殊鋼 (t),0024000707,平成24年7月
1461050,050001000,計,006010,転炉,020040,特殊鋼 (t),0024000808,平成24年8月
1338750,050001000,計,006010,転炉,020040,特殊鋼 (t),0024000909,平成24年9月
1369570,050001000,計,006010,転炉,020040,特殊鋼 (t),0024001010,平成24年10月
1163196,050001000,計,006010,転炉,020040,特殊鋼 (t),0024001111,平成24年11月
1207090,050001000,計,006010,転炉,020040,特殊鋼 (t),0024001212,平成24年12月
29501037,050001000,計,007000,電気炉,020020,合計 (t),0020000000,平成20年
19196779,050001000,計,007000,電気炉,020020,合計 (t),0021000000,平成21年
23842937,050001000,計,007000,電気炉,020020,合計 (t),0022000000,平成22年
24857758,050001000,計,007000,電気炉,020020,合計 (t),0023000000,平成23年
24924902,050001000,計,007000,電気炉,020020,合計 (t),0024000000,平成24年
24496219,050001000,計,007000,電気炉,020020,合計 (t),0022010000,平成22年度
25244984,050001000,計,007000,電気炉,020020,合計 (t),0023010000,平成23年度
6424130,050001000,計,007000,電気炉,020020,合計 (t),0024000103,平成24年 1 ～ 3 月
6732218,050001000,計,007000,電気炉,020020,合計 (t),0024000406,平成24年 4 ～ 6 月
5869885,050001000,計,007000,電気炉,020020,合計 (t),0024000709,平成24年 7 ～ 9 月
5898669,050001000,計,007000,電気炉,020020,合計 (t),0024001012,平成24年 10 ～ 12 月
1994216,050001000,計,007000,電気炉,020020,合計 (t),0024000101,平成24年1月
2142577,050001000,計,007000,電気炉,020020,合計 (t),0024000202,平成24年2月
2287337,050001000,計,007000,電気炉,020020,合計 (t),0024000303,平成24年3月
2254077,050001000,計,007000,電気炉,020020,合計 (t),0024000404,平成24年4月
2236512,050001000,計,007000,電気炉,020020,合計 (t),0024000505,平成24年5月
2241629,050001000,計,007000,電気炉,020020,合計 (t),0024000606,平成24年6月
2024522,050001000,計,007000,電気炉,020020,合計 (t),0024000707,平成24年7月
1821985,050001000,計,007000,電気炉,020020,合計 (t),0024000808,平成24年8月
2023378,050001000,計,007000,電気炉,020020,合計 (t),0024000909,平成24年9月
2044512,050001000,計,007000,電気炉,020020,合計 (t),0024001010,平成24年10月
1983521,050001000,計,007000,電気炉,020020,合計 (t),0024001111,平成24年11月
1870636,050001000,計,007000,電気炉,020020,合計 (t),0024001212,平成24年12月
21420759,050001000,計,007000,電気炉,020030,普通鋼 (t),0020000000,平成20年
14378815,050001000,計,007000,電気炉,020030,普通鋼 (t),0021000000,平成21年
16306439,050001000,計,007000,電気炉,020030,普通鋼 (t),0022000000,平成22年
17412663,050001000,計,007000,電気炉,020030,普通鋼 (t),0023000000,平成23年
17811584,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000000,平成24年
16705680,050001000,計,007000,電気炉,020030,普通鋼 (t),0022010000,平成22年度
17795042,050001000,計,007000,電気炉,020030,普通鋼 (t),0023010000,平成23年度
4496260,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
4781427,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
4205569,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
4328328,050001000,計,007000,電気炉,020030,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
1387181,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000101,平成24年1月
1485109,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000202,平成24年2月
1623970,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000303,平成24年3月
1594362,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000404,平成24年4月
1606130,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000505,平成24年5月
1580935,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000606,平成24年6月
1444668,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000707,平成24年7月
1295683,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000808,平成24年8月
1465218,050001000,計,007000,電気炉,020030,普通鋼 (t),0024000909,平成24年9月
1470813,050001000,計,007000,電気炉,020030,普通鋼 (t),0024001010,平成24年10月
1453202,050001000,計,007000,電気炉,020030,普通鋼 (t),0024001111,平成24年11月
1404313,050001000,計,007000,電気炉,020030,普通鋼 (t),0024001212,平成24年12月
8080278,050001000,計,007000,電気炉,020040,特殊鋼 (t),0020000000,平成20年
4817964,050001000,計,007000,電気炉,020040,特殊鋼 (t),0021000000,平成21年
7536498,050001000,計,007000,電気炉,020040,特殊鋼 (t),0022000000,平成22年
7445095,050001000,計,007000,電気炉,020040,特殊鋼 (t),0023000000,平成23年
7113318,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000000,平成24年
7790539,050001000,計,007000,電気炉,020040,特殊鋼 (t),0022010000,平成22年度
7449942,050001000,計,007000,電気炉,020040,特殊鋼 (t),0023010000,平成23年度
1927870,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000103,平成24年 1 ～ 3 月
1950791,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000406,平成24年 4 ～ 6 月
1664316,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000709,平成24年 7 ～ 9 月
1570341,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024001012,平成24年 10 ～ 12 月
607035,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000101,平成24年1月
657468,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000202,平成24年2月
663367,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000303,平成24年3月
659715,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000404,平成24年4月
630382,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000505,平成24年5月
660694,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000606,平成24年6月
579854,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000707,平成24年7月
526302,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000808,平成24年8月
558160,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024000909,平成24年9月
573699,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024001010,平成24年10月
530319,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024001111,平成24年11月
466323,050001000,計,007000,電気炉,020040,特殊鋼 (t),0024001212,平成24年12月
117507637,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0020000000,平成20年
86685913,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0021000000,平成21年
108642288,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0022000000,平成22年
106608386,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0023000000,平成23年
106292659,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000000,平成24年
109828695,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0022010000,平成22年度
105443626,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0023010000,平成23年度
26314354,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000103,平成24年 1 ～ 3 月
27243465,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000406,平成24年 4 ～ 6 月
27037273,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000709,平成24年 7 ～ 9 月
25697567,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024001012,平成24年 10 ～ 12 月
8548044,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000101,平成24年1月
8528836,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000202,平成24年2月
9237474,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000303,平成24年3月
8992196,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000404,平成24年4月
9140848,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000505,平成24年5月
9110421,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000606,平成24年6月
9171167,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000707,平成24年7月
9139778,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000808,平成24年8月
8726328,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024000909,平成24年9月
8761433,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024001010,平成24年10月
8433096,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024001111,平成24年11月
8503038,050001100,圧延用鋼塊 小計,000000,合計,020020,合計 (t),0024001212,平成24年12月
92176778,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0020000000,平成20年
71148765,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0021000000,平成21年
84673740,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0022000000,平成22年
82928970,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0023000000,平成23年
82990821,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000000,平成24年
85383357,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0022010000,平成22年度
81699635,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0023010000,平成23年度
20207515,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
21000805,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
21236348,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
20546153,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
6547040,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000101,平成24年1月
6523530,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000202,平成24年2月
7136945,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000303,平成24年3月
6856557,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000404,平成24年4月
7043415,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000505,平成24年5月
7100833,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000606,平成24年6月
7147746,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000707,平成24年7月
7201839,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000808,平成24年8月
6886763,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024000909,平成24年9月
6874880,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024001010,平成24年10月
6794497,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024001111,平成24年11月
6876776,050001100,圧延用鋼塊 小計,000000,合計,020030,普通鋼 (t),0024001212,平成24年12月
25330859,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0020000000,平成20年
15537148,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0021000000,平成21年
23968548,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0022000000,平成22年
23679416,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0023000000,平成23年
23301838,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000000,平成24年
24445338,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0022010000,平成22年度
23743991,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0023010000,平成23年度
6106839,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000103,平成24年 1 ～ 3 月
6242660,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000406,平成24年 4 ～ 6 月
5800925,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000709,平成24年 7 ～ 9 月
5151414,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024001012,平成24年 10 ～ 12 月
2001004,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000101,平成24年1月
2005306,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000202,平成24年2月
2100529,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000303,平成24年3月
2135639,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000404,平成24年4月
2097433,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000505,平成24年5月
2009588,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000606,平成24年6月
2023421,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000707,平成24年7月
1937939,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000808,平成24年8月
1839565,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024000909,平成24年9月
1886553,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024001010,平成24年10月
1638599,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024001111,平成24年11月
1626262,050001100,圧延用鋼塊 小計,000000,合計,020040,特殊鋼 (t),0024001212,平成24年12月
89220201,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0020000000,平成20年
68325469,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0021000000,平成21年
85755023,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0022000000,平成22年
82741997,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0023000000,平成23年
82307324,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000000,平成24年
86294723,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0022010000,平成22年度
81217402,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0023010000,平成23年度
20141633,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000103,平成24年 1 ～ 3 月
20766178,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000406,平成24年 4 ～ 6 月
21389669,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000709,平成24年 7 ～ 9 月
20009844,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024001012,平成24年 10 ～ 12 月
6635791,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000101,平成24年1月
6469537,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000202,平成24年2月
7036305,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000303,平成24年3月
6822567,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000404,平成24年4月
6987709,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000505,平成24年5月
6955902,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000606,平成24年6月
7226699,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000707,平成24年7月
7384719,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000808,平成24年8月
6778251,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024000909,平成24年9月
6791774,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024001010,平成24年10月
6521949,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024001111,平成24年11月
6696121,050001100,圧延用鋼塊 小計,006010,転炉,020020,合計 (t),0024001212,平成24年12月
71133457,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0020000000,平成20年
57016799,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0021000000,平成21年
68622018,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0022000000,平成22年
65802598,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0023000000,平成23年
65428993,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0024000000,平成24年
68938776,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0022010000,平成22年度
64200894,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0023010000,平成23年度
15783181,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
16288414,050001100,圧延用鋼塊 小計,006010,転炉,020030,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
