value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
5680692.6,060000000,付加価値額,02050,３０人～４９人,020010000,金額 （百万円）,2008000000,2008年
-3,060000000,付加価値額,02050,３０人～４９人,030010000,前年比 （％）,2008000000,2008年
5.6,060000000,付加価値額,02050,３０人～４９人,050010000,構成比 （％）,2008000000,2008年
10798302.2,060000000,付加価値額,02060,５０人～９９人,020010000,金額 （百万円）,2008000000,2008年
-3.9,060000000,付加価値額,02060,５０人～９９人,030010000,前年比 （％）,2008000000,2008年
10.7,060000000,付加価値額,02060,５０人～９９人,050010000,構成比 （％）,2008000000,2008年
13517756.9,060000000,付加価値額,02070,１００人～１９９人,020010000,金額 （百万円）,2008000000,2008年
-8.1,060000000,付加価値額,02070,１００人～１９９人,030010000,前年比 （％）,2008000000,2008年
13.4,060000000,付加価値額,02070,１００人～１９９人,050010000,構成比 （％）,2008000000,2008年
8326197.5,060000000,付加価値額,02080,２００人～２９９人,020010000,金額 （百万円）,2008000000,2008年
-3.7,060000000,付加価値額,02080,２００人～２９９人,030010000,前年比 （％）,2008000000,2008年
8.3,060000000,付加価値額,02080,２００人～２９９人,050010000,構成比 （％）,2008000000,2008年
10859239.2,060000000,付加価値額,02090,３００人～４９９人,020010000,金額 （百万円）,2008000000,2008年
-7.7,060000000,付加価値額,02090,３００人～４９９人,030010000,前年比 （％）,2008000000,2008年
10.8,060000000,付加価値額,02090,３００人～４９９人,050010000,構成比 （％）,2008000000,2008年
12348083.2,060000000,付加価値額,02100,５００人～９９９人,020010000,金額 （百万円）,2008000000,2008年
-4.6,060000000,付加価値額,02100,５００人～９９９人,030010000,前年比 （％）,2008000000,2008年
12.2,060000000,付加価値額,02100,５００人～９９９人,050010000,構成比 （％）,2008000000,2008年
22758528.9,060000000,付加価値額,02110,１０００人以上,020010000,金額 （百万円）,2008000000,2008年
-13.1,060000000,付加価値額,02110,１０００人以上,030010000,前年比 （％）,2008000000,2008年
22.6,060000000,付加価値額,02110,１０００人以上,050010000,構成比 （％）,2008000000,2008年
