value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
228328,100,売上（収入）金額,120,500万円超～1千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
133616,100,売上（収入）金額,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
124027,100,売上（収入）金額,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
133277,100,売上（収入）金額,120,500万円超～1千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
846923,100,売上（収入）金額,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
968700,100,売上（収入）金額,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
964010,100,売上（収入）金額,120,500万円超～1千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
417846,100,売上（収入）金額,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
445073,100,売上（収入）金額,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
489997,100,売上（収入）金額,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
108564,100,売上（収入）金額,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
121231,100,売上（収入）金額,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
108503,100,売上（収入）金額,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
7413493,100,売上（収入）金額,130,1千万円超～3千万円,100,合計,2016100000,2016年度,百万円
6521895,100,売上（収入）金額,130,1千万円超～3千万円,100,合計,2015100000,2015年度,百万円
7207790,100,売上（収入）金額,130,1千万円超～3千万円,100,合計,2014100000,2014年度,百万円
713841,100,売上（収入）金額,130,1千万円超～3千万円,110,建設業,2016100000,2016年度,百万円
919387,100,売上（収入）金額,130,1千万円超～3千万円,110,建設業,2015100000,2015年度,百万円
945421,100,売上（収入）金額,130,1千万円超～3千万円,110,建設業,2014100000,2014年度,百万円
657998,100,売上（収入）金額,130,1千万円超～3千万円,120,製造業,2016100000,2016年度,百万円
622745,100,売上（収入）金額,130,1千万円超～3千万円,120,製造業,2015100000,2015年度,百万円
