value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
474623,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
498167,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
546788,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
153846,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
161655,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
150155,100,売上高,100,売上高の内訳（金額）,120,500万円超～1千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
13153597,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2016100000,2016年度,百万円
12211152,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2015100000,2015年度,百万円
13113217,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,100,合計,2014100000,2014年度,百万円
1360081,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2016100000,2016年度,百万円
1720519,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2015100000,2015年度,百万円
1804834,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,110,建設業,2014100000,2014年度,百万円
1602171,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2016100000,2016年度,百万円
1500128,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2015100000,2015年度,百万円
1583343,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,120,製造業,2014100000,2014年度,百万円
117806,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2016100000,2016年度,百万円
137693,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2015100000,2015年度,百万円
140313,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,130,情報通信業,2014100000,2014年度,百万円
100341,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
115832,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
118118,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
745165,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2016100000,2016年度,百万円
642847,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2015100000,2015年度,百万円
638991,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,150,卸売業,2014100000,2014年度,百万円
3210600,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2016100000,2016年度,百万円
2436206,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2015100000,2015年度,百万円
2774684,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,160,小売業,2014100000,2014年度,百万円
1251678,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
1293095,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
1352791,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
882057,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
962048,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
940143,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
2384557,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1916577,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
2202467,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
801686,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
797824,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
795967,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
697456,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
688382,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
761567,100,売上高,100,売上高の内訳（金額）,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
10932726,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2016100000,2016年度,百万円
11442018,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2015100000,2015年度,百万円
11078655,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,100,合計,2014100000,2014年度,百万円
2041776,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2016100000,2016年度,百万円
1968782,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2015100000,2015年度,百万円
1791993,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,110,建設業,2014100000,2014年度,百万円
1593485,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2016100000,2016年度,百万円
1670729,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2015100000,2015年度,百万円
1806744,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,120,製造業,2014100000,2014年度,百万円
168291,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,130,情報通信業,2016100000,2016年度,百万円
148273,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,130,情報通信業,2015100000,2015年度,百万円
162951,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,130,情報通信業,2014100000,2014年度,百万円
152874,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
170176,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
198373,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
746944,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,150,卸売業,2016100000,2016年度,百万円
857794,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,150,卸売業,2015100000,2015年度,百万円
939214,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,150,卸売業,2014100000,2014年度,百万円
1704987,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,160,小売業,2016100000,2016年度,百万円
2230842,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,160,小売業,2015100000,2015年度,百万円
2075945,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,160,小売業,2014100000,2014年度,百万円
918939,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
1000809,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
804125,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
880305,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
872166,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
886322,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
1609680,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1320930,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
1292803,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
476233,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
484226,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
422877,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
639213,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
717291,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
697308,100,売上高,100,売上高の内訳（金額）,140,3千万円超～5千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
21399936,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,100,合計,2016100000,2016年度,百万円
22177578,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,100,合計,2015100000,2015年度,百万円
23345650,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,100,合計,2014100000,2014年度,百万円
4617880,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,110,建設業,2016100000,2016年度,百万円
4155044,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,110,建設業,2015100000,2015年度,百万円
5115156,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,110,建設業,2014100000,2014年度,百万円
3817668,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,120,製造業,2016100000,2016年度,百万円
3576115,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,120,製造業,2015100000,2015年度,百万円
3411101,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,120,製造業,2014100000,2014年度,百万円
388507,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,130,情報通信業,2016100000,2016年度,百万円
385649,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,130,情報通信業,2015100000,2015年度,百万円
380888,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,130,情報通信業,2014100000,2014年度,百万円
652139,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,140,運輸業，郵便業,2016100000,2016年度,百万円
633648,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,140,運輸業，郵便業,2015100000,2015年度,百万円
660494,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,140,運輸業，郵便業,2014100000,2014年度,百万円
2057803,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,150,卸売業,2016100000,2016年度,百万円
2002572,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,150,卸売業,2015100000,2015年度,百万円
2057898,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,150,卸売業,2014100000,2014年度,百万円
3376730,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,160,小売業,2016100000,2016年度,百万円
4562906,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,160,小売業,2015100000,2015年度,百万円
4276846,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,160,小売業,2014100000,2014年度,百万円
1460594,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
1494047,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
1544684,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
1103783,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
1408824,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
1486511,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
1489521,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
1786156,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
2124193,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
661932,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
674648,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
691094,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
1773380,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
1497967,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
1596785,100,売上高,100,売上高の内訳（金額）,150,5千万円超～1億円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
95459843,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,100,合計,2016100000,2016年度,百万円
99391455,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,100,合計,2015100000,2015年度,百万円
96416958,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,100,合計,2014100000,2014年度,百万円
20277242,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,110,建設業,2016100000,2016年度,百万円
22089296,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,110,建設業,2015100000,2015年度,百万円
21173100,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,110,建設業,2014100000,2014年度,百万円
18743686,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,120,製造業,2016100000,2016年度,百万円
19053092,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,120,製造業,2015100000,2015年度,百万円
18153853,100,売上高,100,売上高の内訳（金額）,160,1億円超～5億円,120,製造業,2014100000,2014年度,百万円
