value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
9126,000,男女計,000,総数,515,15歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
5227,000,男女計,000,総数,575,75歳以上,000,総数,00000,全国,1987000000,1987年,千人
4309,000,男女計,000,総数,575,75歳以上,001,　一般世帯,00000,全国,1987000000,1987年,千人
1264,000,男女計,000,総数,575,75歳以上,002,　　世帯主,00000,全国,1987000000,1987年,千人
369,000,男女計,000,総数,575,75歳以上,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
2663,000,男女計,000,総数,575,75歳以上,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
12,000,男女計,000,総数,575,75歳以上,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
918,000,男女計,000,総数,575,75歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
1621,000,男女計,001,　有業者,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
1304,000,男女計,001,　有業者,203,15～19歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
9,000,男女計,001,　有業者,203,15～19歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
6,000,男女計,001,　有業者,203,15～19歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1273,000,男女計,001,　有業者,203,15～19歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
16,000,男女計,001,　有業者,203,15～19歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
317,000,男女計,001,　有業者,203,15～19歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5960,000,男女計,001,　有業者,204,20～24歳,000,総数,00000,全国,1987000000,1987年,千人
4717,000,男女計,001,　有業者,204,20～24歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
284,000,男女計,001,　有業者,204,20～24歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
163,000,男女計,001,　有業者,204,20～24歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
4242,000,男女計,001,　有業者,204,20～24歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
29,000,男女計,001,　有業者,204,20～24歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
1242,000,男女計,001,　有業者,204,20～24歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5820,000,男女計,001,　有業者,205,25～29歳,000,総数,00000,全国,1987000000,1987年,千人
4885,000,男女計,001,　有業者,205,25～29歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1246,000,男女計,001,　有業者,205,25～29歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
614,000,男女計,001,　有業者,205,25～29歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
3014,000,男女計,001,　有業者,205,25～29歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
11,000,男女計,001,　有業者,205,25～29歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
935,000,男女計,001,　有業者,205,25～29歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
6016,000,男女計,001,　有業者,206,30～34歳,000,総数,00000,全国,1987000000,1987年,千人
5512,000,男女計,001,　有業者,206,30～34歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
2394,000,男女計,001,　有業者,206,30～34歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1128,000,男女計,001,　有業者,206,30～34歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1984,000,男女計,001,　有業者,206,30～34歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,001,　有業者,206,30～34歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
505,000,男女計,001,　有業者,206,30～34歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
8571,000,男女計,001,　有業者,207,35～39歳,000,総数,00000,全国,1987000000,1987年,千人
8080,000,男女計,001,　有業者,207,35～39歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
4048,000,男女計,001,　有業者,207,35～39歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2295,000,男女計,001,　有業者,207,35～39歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1729,000,男女計,001,　有業者,207,35～39歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
9,000,男女計,001,　有業者,207,35～39歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
490,000,男女計,001,　有業者,207,35～39歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
7477,000,男女計,001,　有業者,208,40～44歳,000,総数,00000,全国,1987000000,1987年,千人
7110,000,男女計,001,　有業者,208,40～44歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3897,000,男女計,001,　有業者,208,40～44歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2391,000,男女計,001,　有業者,208,40～44歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
818,000,男女計,001,　有業者,208,40～44歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
4,000,男女計,001,　有業者,208,40～44歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
367,000,男女計,001,　有業者,208,40～44歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
7095,000,男女計,001,　有業者,209,45～49歳,000,総数,00000,全国,1987000000,1987年,千人
6741,000,男女計,001,　有業者,209,45～49歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3922,000,男女計,001,　有業者,209,45～49歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2349,000,男女計,001,　有業者,209,45～49歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
462,000,男女計,001,　有業者,209,45～49歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
8,000,男女計,001,　有業者,209,45～49歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
355,000,男女計,001,　有業者,209,45～49歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
6394,000,男女計,001,　有業者,210,50～54歳,000,総数,00000,全国,1987000000,1987年,千人
6026,000,男女計,001,　有業者,210,50～54歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3738,000,男女計,001,　有業者,210,50～54歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
2006,000,男女計,001,　有業者,210,50～54歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
276,000,男女計,001,　有業者,210,50～54歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
6,000,男女計,001,　有業者,210,50～54歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
368,000,男女計,001,　有業者,210,50～54歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5070,000,男女計,001,　有業者,211,55～59歳,000,総数,00000,全国,1987000000,1987年,千人
