value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
1611398,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,100,児童生徒数-女,00000,全国,2006000000,2006年
232968,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
136196,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
96772,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
16421,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,195,教員数（兼務者）,00000,全国,2006000000,2006年
32044,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,200,職員数（本務者）,00000,全国,2006000000,2006年
726,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,010,学校数-計,00000,全国,2006000000,2006年
726,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,030,学校数-分校,00000,全国,2006000000,2006年
6958,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,040,学級数,00000,全国,2006000000,2006年
247348,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,080,児童生徒数-計,00000,全国,2006000000,2006年
115937,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,090,児童生徒数-男,00000,全国,2006000000,2006年
131411,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,100,児童生徒数-女,00000,全国,2006000000,2006年
13670,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
8655,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
5015,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
13391,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,195,教員数（兼務者）,00000,全国,2006000000,2006年
2123,0000000800,学校数・学級数・児童生徒数・教職員数,07200,中学校-私立,200,職員数（本務者）,00000,全国,2006000000,2006年
5385,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,010,学校数-計,00000,全国,2006000000,2006年
5272,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,020,学校数-本校,00000,全国,2006000000,2006年
113,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,030,学校数-分校,00000,全国,2006000000,2006年
67032,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,040,学級数,00000,全国,2006000000,2006年
3494513,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,080,児童生徒数-計,00000,全国,2006000000,2006年
1769215,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,090,児童生徒数-男,00000,全国,2006000000,2006年
1725298,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,100,児童生徒数-女,00000,全国,2006000000,2006年
247804,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,170,教員数（本務者）-計,00000,全国,2006000000,2006年
178713,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,180,教員数（本務者）-男,00000,全国,2006000000,2006年
69091,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,190,教員数（本務者）-女,00000,全国,2006000000,2006年
67768,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,195,教員数（兼務者）,00000,全国,2006000000,2006年
53180,0000000800,学校数・学級数・児童生徒数・教職員数,07290,高等学校-計,200,職員数（本務者）,00000,全国,2006000000,2006年
15,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,010,学校数-計,00000,全国,2006000000,2006年
15,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,030,学校数-分校,00000,全国,2006000000,2006年
8844,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,080,児童生徒数-計,00000,全国,2006000000,2006年
4483,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,090,児童生徒数-男,00000,全国,2006000000,2006年
4361,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,100,児童生徒数-女,00000,全国,2006000000,2006年
589,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
450,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
139,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
367,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,195,教員数（兼務者）,00000,全国,2006000000,2006年
81,0000000800,学校数・学級数・児童生徒数・教職員数,07300,高等学校-国立,200,職員数（本務者）,00000,全国,2006000000,2006年
4045,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,010,学校数-計,00000,全国,2006000000,2006年
3936,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,020,学校数-本校,00000,全国,2006000000,2006年
109,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,030,学校数-分校,00000,全国,2006000000,2006年
67032,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,040,学級数,00000,全国,2006000000,2006年
2447387,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,080,児童生徒数-計,00000,全国,2006000000,2006年
1230051,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,090,児童生徒数-男,00000,全国,2006000000,2006年
1217336,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,100,児童生徒数-女,00000,全国,2006000000,2006年
187599,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
134316,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
53283,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
34654,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,195,教員数（兼務者）,00000,全国,2006000000,2006年
40603,0000000800,学校数・学級数・児童生徒数・教職員数,07400,高等学校-公立,200,職員数（本務者）,00000,全国,2006000000,2006年
1325,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,010,学校数-計,00000,全国,2006000000,2006年
1321,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,020,学校数-本校,00000,全国,2006000000,2006年
4,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,030,学校数-分校,00000,全国,2006000000,2006年
1038282,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,080,児童生徒数-計,00000,全国,2006000000,2006年
534681,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,090,児童生徒数-男,00000,全国,2006000000,2006年
503601,0000000800,学校数・学級数・児童生徒数・教職員数,07500,高等学校-私立,100,児童生徒数-女,00000,全国,2006000000,2006年
