value,cat01,cat01_label,area,area_label
280,0000004000,公立【計】（計）,47000,沖縄県
22262,0000004010,公立【計】（本校）,00000,全国
1361,0000004010,公立【計】（本校）,01000,北海道
377,0000004010,公立【計】（本校）,02000,青森県
432,0000004010,公立【計】（本校）,03000,岩手県
446,0000004010,公立【計】（本校）,04000,宮城県
287,0000004010,公立【計】（本校）,05000,秋田県
335,0000004010,公立【計】（本校）,06000,山形県
531,0000004010,公立【計】（本校）,07000,福島県
577,0000004010,公立【計】（本校）,08000,茨城県
418,0000004010,公立【計】（本校）,09000,栃木県
340,0000004010,公立【計】（本校）,10000,群馬県
821,0000004010,公立【計】（本校）,11000,埼玉県
849,0000004010,公立【計】（本校）,12000,千葉県
1328,0000004010,公立【計】（本校）,13000,東京都
868,0000004010,公立【計】（本校）,14000,神奈川県
567,0000004010,公立【計】（本校）,15000,新潟県
208,0000004010,公立【計】（本校）,16000,富山県
231,0000004010,公立【計】（本校）,17000,石川県
210,0000004010,公立【計】（本校）,18000,福井県
206,0000004010,公立【計】（本校）,19000,山梨県
393,0000004010,公立【計】（本校）,20000,長野県
391,0000004010,公立【計】（本校）,21000,岐阜県
534,0000004010,公立【計】（本校）,22000,静岡県
978,0000004010,公立【計】（本校）,23000,愛知県
425,0000004010,公立【計】（本校）,24000,三重県
231,0000004010,公立【計】（本校）,25000,滋賀県
434,0000004010,公立【計】（本校）,26000,京都府
1023,0000004010,公立【計】（本校）,27000,大阪府
817,0000004010,公立【計】（本校）,28000,兵庫県
225,0000004010,公立【計】（本校）,29000,奈良県
291,0000004010,公立【計】（本校）,30000,和歌山県
152,0000004010,公立【計】（本校）,31000,鳥取県
255,0000004010,公立【計】（本校）,32000,島根県
425,0000004010,公立【計】（本校）,33000,岡山県
594,0000004010,公立【計】（本校）,34000,広島県
347,0000004010,公立【計】（本校）,35000,山口県
263,0000004010,公立【計】（本校）,36000,徳島県
194,0000004010,公立【計】（本校）,37000,香川県
360,0000004010,公立【計】（本校）,38000,愛媛県
304,0000004010,公立【計】（本校）,39000,高知県
762,0000004010,公立【計】（本校）,40000,福岡県
175,0000004010,公立【計】（本校）,41000,佐賀県
376,0000004010,公立【計】（本校）,42000,長崎県
437,0000004010,公立【計】（本校）,43000,熊本県
346,0000004010,公立【計】（本校）,44000,大分県
270,0000004010,公立【計】（本校）,45000,宮崎県
593,0000004010,公立【計】（本校）,46000,鹿児島県
275,0000004010,公立【計】（本校）,47000,沖縄県
345,0000004020,公立【計】（分校）,00000,全国
4,0000004020,公立【計】（分校）,01000,北海道
1,0000004020,公立【計】（分校）,02000,青森県
3,0000004020,公立【計】（分校）,03000,岩手県
14,0000004020,公立【計】（分校）,04000,宮城県
2,0000004020,公立【計】（分校）,05000,秋田県
16,0000004020,公立【計】（分校）,06000,山形県
20,0000004020,公立【計】（分校）,07000,福島県
0,0000004020,公立【計】（分校）,08000,茨城県
1,0000004020,公立【計】（分校）,09000,栃木県
6,0000004020,公立【計】（分校）,10000,群馬県
5,0000004020,公立【計】（分校）,11000,埼玉県
6,0000004020,公立【計】（分校）,12000,千葉県
1,0000004020,公立【計】（分校）,13000,東京都
2,0000004020,公立【計】（分校）,14000,神奈川県
5,0000004020,公立【計】（分校）,15000,新潟県
2,0000004020,公立【計】（分校）,16000,富山県
5,0000004020,公立【計】（分校）,17000,石川県
3,0000004020,公立【計】（分校）,18000,福井県
10,0000004020,公立【計】（分校）,19000,山梨県
4,0000004020,公立【計】（分校）,20000,長野県
1,0000004020,公立【計】（分校）,21000,岐阜県
6,0000004020,公立【計】（分校）,22000,静岡県
4,0000004020,公立【計】（分校）,23000,愛知県
12,0000004020,公立【計】（分校）,24000,三重県
4,0000004020,公立【計】（分校）,25000,滋賀県
5,0000004020,公立【計】（分校）,26000,京都府
6,0000004020,公立【計】（分校）,27000,大阪府
5,0000004020,公立【計】（分校）,28000,兵庫県
0,0000004020,公立【計】（分校）,29000,奈良県
17,0000004020,公立【計】（分校）,30000,和歌山県
16,0000004020,公立【計】（分校）,31000,鳥取県
7,0000004020,公立【計】（分校）,32000,島根県
8,0000004020,公立【計】（分校）,33000,岡山県
3,0000004020,公立【計】（分校）,34000,広島県
5,0000004020,公立【計】（分校）,35000,山口県
8,0000004020,公立【計】（分校）,36000,徳島県
5,0000004020,公立【計】（分校）,37000,香川県
3,0000004020,公立【計】（分校）,38000,愛媛県
4,0000004020,公立【計】（分校）,39000,高知県
9,0000004020,公立【計】（分校）,40000,福岡県
18,0000004020,公立【計】（分校）,41000,佐賀県
30,0000004020,公立【計】（分校）,42000,長崎県
22,0000004020,公立【計】（分校）,43000,熊本県
15,0000004020,公立【計】（分校）,44000,大分県
8,0000004020,公立【計】（分校）,45000,宮崎県
9,0000004020,公立【計】（分校）,46000,鹿児島県
5,0000004020,公立【計】（分校）,47000,沖縄県
18019,0000004200,公立【市（区）立】（計）,00000,全国
723,0000004200,公立【市（区）立】（計）,01000,北海道
244,0000004200,公立【市（区）立】（計）,02000,青森県
283,0000004200,公立【市（区）立】（計）,03000,岩手県
338,0000004200,公立【市（区）立】（計）,04000,宮城県
245,0000004200,公立【市（区）立】（計）,05000,秋田県
