value,tab,tab_label,area,area_label,time,time_label,unit
16081,300,受注高,00042,北海道地方,2011000606,2011年6月,百万円
14627,300,受注高,00042,北海道地方,2011000505,2011年5月,百万円
21455,300,受注高,00042,北海道地方,2011000404,2011年4月,百万円
48739,300,受注高,00042,北海道地方,2011000303,2011年3月,百万円
31114,300,受注高,00042,北海道地方,2011000202,2011年2月,百万円
12071,300,受注高,00042,北海道地方,2011000101,2011年1月,百万円
30373,300,受注高,00042,北海道地方,2010001212,2010年12月,百万円
17965,300,受注高,00042,北海道地方,2010001111,2010年11月,百万円
18248,300,受注高,00042,北海道地方,2010001010,2010年10月,百万円
17950,300,受注高,00042,北海道地方,2010000909,2010年9月,百万円
16886,300,受注高,00042,北海道地方,2010000808,2010年8月,百万円
15699,300,受注高,00042,北海道地方,2010000707,2010年7月,百万円
29738,300,受注高,00042,北海道地方,2010000606,2010年6月,百万円
13379,300,受注高,00042,北海道地方,2010000505,2010年5月,百万円
21969,300,受注高,00042,北海道地方,2010000404,2010年4月,百万円
58606,300,受注高,00042,北海道地方,2010000303,2010年3月,百万円
28270,300,受注高,00042,北海道地方,2010000202,2010年2月,百万円
11149,300,受注高,00042,北海道地方,2010000101,2010年1月,百万円
17825,300,受注高,00042,北海道地方,2009001212,2009年12月,百万円
12387,300,受注高,00042,北海道地方,2009001111,2009年11月,百万円
23805,300,受注高,00042,北海道地方,2009001010,2009年10月,百万円
21068,300,受注高,00042,北海道地方,2009000909,2009年9月,百万円
15803,300,受注高,00042,北海道地方,2009000808,2009年8月,百万円
17102,300,受注高,00042,北海道地方,2009000707,2009年7月,百万円
31524,300,受注高,00042,北海道地方,2009000606,2009年6月,百万円
10076,300,受注高,00042,北海道地方,2009000505,2009年5月,百万円
17363,300,受注高,00042,北海道地方,2009000404,2009年4月,百万円
44437,300,受注高,00042,北海道地方,2009000303,2009年3月,百万円
11989,300,受注高,00042,北海道地方,2009000202,2009年2月,百万円
22830,300,受注高,00042,北海道地方,2009000101,2009年1月,百万円
11079,300,受注高,00042,北海道地方,2008001212,2008年12月,百万円
15881,300,受注高,00042,北海道地方,2008001111,2008年11月,百万円
26484,300,受注高,00042,北海道地方,2008001010,2008年10月,百万円
27084,300,受注高,00042,北海道地方,2008000909,2008年9月,百万円
27056,300,受注高,00042,北海道地方,2008000808,2008年8月,百万円
53230,300,受注高,00042,北海道地方,2008000707,2008年7月,百万円
18989,300,受注高,00042,北海道地方,2008000606,2008年6月,百万円
20869,300,受注高,00042,北海道地方,2008000505,2008年5月,百万円
34608,300,受注高,00042,北海道地方,2008000404,2008年4月,百万円
58829,300,受注高,00042,北海道地方,2008000303,2008年3月,百万円
42051,300,受注高,00042,北海道地方,2008000202,2008年2月,百万円
22338,300,受注高,00042,北海道地方,2008000101,2008年1月,百万円
149493,300,受注高,00043,東北地方,2026000505,2026年5月,百万円
42334,300,受注高,00043,東北地方,2026000404,2026年4月,百万円
191448,300,受注高,00043,東北地方,2026000303,2026年3月,百万円
68047,300,受注高,00043,東北地方,2026000202,2026年2月,百万円
58067,300,受注高,00043,東北地方,2026000101,2026年1月,百万円
107265,300,受注高,00043,東北地方,2025001212,2025年12月,百万円
