value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
32072,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",210,11 鉄骨工事業,2022100000,2022年度,百万円
45499,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",210,11 鉄骨工事業,2021100000,2021年度,百万円
10316,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",220,12 鉄筋工事業,2023100000,2023年度,百万円
9630,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",220,12 鉄筋工事業,2022100000,2022年度,百万円
11296,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",220,12 鉄筋工事業,2021100000,2021年度,百万円
4119,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",230,13 石工工事業,2023100000,2023年度,百万円
2772,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",230,13 石工工事業,2022100000,2022年度,百万円
938,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",230,13 石工工事業,2021100000,2021年度,百万円
20132,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",240,14 煉瓦・タイル・ブロック工事業,2023100000,2023年度,百万円
29199,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",240,14 煉瓦・タイル・ブロック工事業,2022100000,2022年度,百万円
17339,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",240,14 煉瓦・タイル・ブロック工事業,2021100000,2021年度,百万円
2732,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",250,15 左官工事業,2023100000,2023年度,百万円
56778,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",250,15 左官工事業,2022100000,2022年度,百万円
18682,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",250,15 左官工事業,2021100000,2021年度,百万円
5976,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",260,16 屋根工事業,2023100000,2023年度,百万円
32172,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",260,16 屋根工事業,2022100000,2022年度,百万円
14684,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",260,16 屋根工事業,2021100000,2021年度,百万円
4466,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",270,17 金属製屋根工事業,2023100000,2023年度,百万円
3506,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",270,17 金属製屋根工事業,2022100000,2022年度,百万円
10273,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",270,17 金属製屋根工事業,2021100000,2021年度,百万円
