value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,unit
3.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,20,　聴器の疾患（再掲）,千人
205,22,推計患者数の年次推移,1,昭和５４年,2,入院,21,７　循環系の疾患,千人
2.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,22,　リウマチ熱及びリウマチ性心疾患（再掲）,千人
35.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,23,　高血圧性疾患（再掲）,千人
21.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,24,　虚血性心疾患（再掲）,千人
24.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,25,　その他の心疾患（再掲）,千人
107.7,22,推計患者数の年次推移,1,昭和５４年,2,入院,26,　脳血管疾患（再掲）,千人
41.8,22,推計患者数の年次推移,1,昭和５４年,2,入院,27,８　呼吸系の疾患,千人
2,22,推計患者数の年次推移,1,昭和５４年,2,入院,28,　急性上気道感染（再掲）,千人
1.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,29,　急性及び詳細不明の気管支炎（再掲）,千人
8.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,30,　肺炎（再掲）,千人
2.1,22,推計患者数の年次推移,1,昭和５４年,2,入院,31,　慢性気管支炎（再掲）,千人
13.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,32,　喘息（再掲）,千人
128.9,22,推計患者数の年次推移,1,昭和５４年,2,入院,33,９　消化系の疾患,千人
0.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,34,　歯及び歯の支持組織の疾患（再掲）,千人
36.4,22,推計患者数の年次推移,1,昭和５４年,2,入院,35,　胃及び十二指腸潰瘍（再掲）,千人
4.5,22,推計患者数の年次推移,1,昭和５４年,2,入院,36,　胃炎及び十二指腸炎（再掲）,千人
9.3,22,推計患者数の年次推移,1,昭和５４年,2,入院,37,　虫垂炎（再掲）,千人
41.8,22,推計患者数の年次推移,1,昭和５４年,2,入院,38,　肝の疾患（再掲）,千人
36.2,22,推計患者数の年次推移,1,昭和５４年,2,入院,39,１０　泌尿生殖系の疾患,千人
