value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
0,38,総患者数,1,総数,2,０歳,18,５　精神及び行動の障害（神経症性障害，ストレス関連障害及び身体表現性障害（再掲））,1,平成２０年,千人
2,38,総患者数,1,総数,2,０歳,19,６　神経系の疾患,1,平成２０年,千人
5,38,総患者数,1,総数,2,０歳,20,７　眼及び付属器の疾患,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,21,７　眼及び付属器の疾患（白内障（再掲））,1,平成２０年,千人
13,38,総患者数,1,総数,2,０歳,22,８　耳及び乳様突起の疾患,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,23,９　循環器系の疾患,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,24,９　循環器系の疾患（高血圧性疾患（再掲））,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,25,９　循環器系の疾患（（心疾患（高血圧性のものを除く））（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,26,９　循環器系の疾患（虚血性心疾患（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,27,９　循環器系の疾患（脳血管疾患（再掲））,1,平成２０年,千人
76,38,総患者数,1,総数,2,０歳,28,１０　呼吸器系の疾患,1,平成２０年,千人
45,38,総患者数,1,総数,2,０歳,29,１０　呼吸器系の疾患（急性上気道感染症（再掲））,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,30,１０　呼吸器系の疾患（肺炎（再掲））,1,平成２０年,千人
13,38,総患者数,1,総数,2,０歳,31,１０　呼吸器系の疾患（急性気管支炎及び急性細気管支炎（再掲））,1,平成２０年,千人
3,38,総患者数,1,総数,2,０歳,32,１０　呼吸器系の疾患（気管支炎及び慢性閉塞性肺疾患（再掲））,1,平成２０年,千人
12,38,総患者数,1,総数,2,０歳,33,１０　呼吸器系の疾患（喘息（再掲））,1,平成２０年,千人
8,38,総患者数,1,総数,2,０歳,34,１１　消化器系の疾患,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,35,１１　消化器系の疾患（う蝕（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,36,１１　消化器系の疾患（歯肉炎及び歯周疾患（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,37,１１　消化器系の疾患（胃潰瘍及び十二指腸潰瘍（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,38,１１　消化器系の疾患（胃炎及び十二指腸炎（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,39,１１　消化器系の疾患（肝疾患（再掲））,1,平成２０年,千人
35,38,総患者数,1,総数,2,０歳,40,１２　皮膚及び皮下組織の疾患,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,41,１３　筋骨格系及び結合組織の疾患,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,42,１３　筋骨格系及び結合組織の疾患（炎症性多発性関節障害（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,43,１３　筋骨格系及び結合組織の疾患（関節症（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,44,１３　筋骨格系及び結合組織の疾患（脊柱障害（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,45,１３　筋骨格系及び結合組織の疾患（骨の密度及び構造の障害（再掲））,1,平成２０年,千人
2,38,総患者数,1,総数,2,０歳,46,１４　腎尿路生殖器系の疾患,1,平成２０年,千人
1,38,総患者数,1,総数,2,０歳,47,１４　腎尿路生殖器系の疾患（糸球体疾患，腎尿細管間質性疾患及び腎不全（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,48,１４　腎尿路生殖器系の疾患（前立腺肥大（症）（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,49,１４　腎尿路生殖器系の疾患（乳房及び女性生殖器の疾患（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,50,１５　妊娠，分娩及び産じょく,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,51,１５　妊娠，分娩及び産じょく（妊娠高血圧症候群（再掲））,1,平成２０年,千人
28,38,総患者数,1,総数,2,０歳,52,１６　周産期に発生した病態,1,平成２０年,千人
15,38,総患者数,1,総数,2,０歳,53,１７　先天奇形，変形及び染色体異常,1,平成２０年,千人
6,38,総患者数,1,総数,2,０歳,54,１８　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,1,平成２０年,千人
6,38,総患者数,1,総数,2,０歳,55,１９　損傷，中毒及びその他の外因の影響,1,平成２０年,千人
0,38,総患者数,1,総数,2,０歳,56,１９　損傷，中毒及びその他の外因の影響（骨折（再掲））,1,平成２０年,千人
62,38,総患者数,1,総数,2,０歳,57,２１　健康状態に影響を及ぼす要因及び保健サービスの利用,1,平成２０年,千人
-,38,総患者数,1,総数,2,０歳,58,２１　健康状態に影響を及ぼす要因及び保健サービスの利用（歯の補てつ（再掲））,1,平成２０年,千人
40,38,総患者数,1,総数,3,１～４歳,1,１　感染症及び寄生虫症,1,平成２０年,千人
14,38,総患者数,1,総数,3,１～４歳,2,１　感染症及び寄生虫症（腸管感染症（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,3,１　感染症及び寄生虫症（結核（再掲））,1,平成２０年,千人
17,38,総患者数,1,総数,3,１～４歳,4,１　感染症及び寄生虫症（皮膚及び粘膜の病変を伴うウイルス疾患（再掲））,1,平成２０年,千人
1,38,総患者数,1,総数,3,１～４歳,5,１　感染症及び寄生虫症（真菌症（再掲））,1,平成２０年,千人
7,38,総患者数,1,総数,3,１～４歳,6,２　新生物,1,平成２０年,千人
1,38,総患者数,1,総数,3,１～４歳,7,２　新生物（（悪性新生物）（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,8,２　新生物（胃の悪性新生物（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,9,２　新生物（結腸及び直腸の悪性新生物（再掲））,1,平成２０年,千人
-,38,総患者数,1,総数,3,１～４歳,10,２　新生物（気管，気管支及び肺の悪性新生物（再掲））,1,平成２０年,千人
5,38,総患者数,1,総数,3,１～４歳,11,３　血液及び造血器の疾患並びに免疫機構の障害,1,平成２０年,千人
5,38,総患者数,1,総数,3,１～４歳,12,４　内分泌，栄養及び代謝疾患,1,平成２０年,千人
2,38,総患者数,1,総数,3,１～４歳,13,４　内分泌，栄養及び代謝疾患（甲状腺障害（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,14,４　内分泌，栄養及び代謝疾患（糖尿病（再掲））,1,平成２０年,千人
23,38,総患者数,1,総数,3,１～４歳,15,５　精神及び行動の障害,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,16,５　精神及び行動の障害（統合失調症，統合失調症型障害及び妄想性障害（再掲））,1,平成２０年,千人
0,38,総患者数,1,総数,3,１～４歳,17,５　精神及び行動の障害（気分［感情］障害（躁うつ病を含む）（再掲））,1,平成２０年,千人
2,38,総患者数,1,総数,3,１～４歳,18,５　精神及び行動の障害（神経症性障害，ストレス関連障害及び身体表現性障害（再掲））,1,平成２０年,千人
18,38,総患者数,1,総数,3,１～４歳,19,６　神経系の疾患,1,平成２０年,千人
