value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
1.1,120,度数率,300,総合工事業,300,計,2000000000,2000年
1.61,120,度数率,300,総合工事業,300,計,2001000000,2001年
1.04,120,度数率,300,総合工事業,300,計,2002000000,2002年
1.61,120,度数率,300,総合工事業,300,計,2003000000,2003年
1.77,120,度数率,300,総合工事業,300,計,2004000000,2004年
0.97,120,度数率,300,総合工事業,300,計,2005000000,2005年
1.55,120,度数率,300,総合工事業,300,計,2006000000,2006年
1.95,120,度数率,300,総合工事業,300,計,2007000000,2007年
1.89,120,度数率,300,総合工事業,300,計,2008000000,2008年
1.09,120,度数率,300,総合工事業,300,計,2009000000,2009年
1.56,120,度数率,300,総合工事業,300,計,2010000000,2010年
0.85,120,度数率,300,総合工事業,300,計,2011000000,2011年
0.83,120,度数率,300,総合工事業,300,計,2012000000,2012年
1.25,120,度数率,300,総合工事業,300,計,2013000000,2013年
0.91,120,度数率,300,総合工事業,300,計,2014000000,2014年
0.92,120,度数率,300,総合工事業,300,計,2015000000,2015年
0.64,120,度数率,300,総合工事業,300,計,2016000000,2016年
0.81,120,度数率,300,総合工事業,300,計,2017000000,2017年
1.09,120,度数率,300,総合工事業,300,計,2018000000,2018年
1.69,120,度数率,300,総合工事業,300,計,2019000000,2019年
1.3,120,度数率,300,総合工事業,300,計,2020000000,2020年
1.39,120,度数率,300,総合工事業,300,計,2021000000,2021年
1.47,120,度数率,300,総合工事業,300,計,2022000000,2022年
1.69,120,度数率,300,総合工事業,300,計,2023000000,2023年
1.91,120,度数率,300,総合工事業,300,計,2024000000,2024年
3.02,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1952000000,1952年
2.95,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1953000000,1953年
2.85,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1954000000,1954年
2.59,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1955000000,1955年
2.35,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1956000000,1956年
2.38,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1957000000,1957年
2.05,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1958000000,1958年
1.91,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1959000000,1959年
1.83,130,強度率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1960000000,1960年
