value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
158079,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,27000,大阪府,1980000000,1980年,人
60533,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,28000,兵庫県,1980000000,1980年,人
5028,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,29000,奈良県,1980000000,1980年,人
3895,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,30000,和歌山県,1980000000,1980年,人
1483,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,31000,鳥取県,1980000000,1980年,人
1270,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,32000,島根県,1980000000,1980年,人
7370,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,33000,岡山県,1980000000,1980年,人
13729,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,34000,広島県,1980000000,1980年,人
13143,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,35000,山口県,1980000000,1980年,人
283,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,36000,徳島県,1980000000,1980年,人
813,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,37000,香川県,1980000000,1980年,人
1635,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,38000,愛媛県,1980000000,1980年,人
667,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,39000,高知県,1980000000,1980年,人
22811,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,40000,福岡県,1980000000,1980年,人
1203,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,41000,佐賀県,1980000000,1980年,人
2021,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,42000,長崎県,1980000000,1980年,人
1244,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,43000,熊本県,1980000000,1980年,人
2545,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,44000,大分県,1980000000,1980年,人
702,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,45000,宮崎県,1980000000,1980年,人
325,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,46000,鹿児島県,1980000000,1980年,人
173,00700,全域,000,男女総数,T01,総数,001,韓国・朝鮮,47000,沖縄県,1980000000,1980年,人
43748,00700,全域,000,男女総数,T01,総数,002,中国,00000,全国,1980000000,1980年,人
40824,00700,全域,000,男女総数,T01,総数,002,中国,00001,全国市部,1980000000,1980年,人
2924,00700,全域,000,男女総数,T01,総数,002,中国,00002,全国郡部,1980000000,1980年,人
738,00700,全域,000,男女総数,T01,総数,002,中国,01000,北海道,1980000000,1980年,人
115,00700,全域,000,男女総数,T01,総数,002,中国,02000,青森県,1980000000,1980年,人
201,00700,全域,000,男女総数,T01,総数,002,中国,03000,岩手県,1980000000,1980年,人
393,00700,全域,000,男女総数,T01,総数,002,中国,04000,宮城県,1980000000,1980年,人
67,00700,全域,000,男女総数,T01,総数,002,中国,05000,秋田県,1980000000,1980年,人
144,00700,全域,000,男女総数,T01,総数,002,中国,06000,山形県,1980000000,1980年,人
239,00700,全域,000,男女総数,T01,総数,002,中国,07000,福島県,1980000000,1980年,人
273,00700,全域,000,男女総数,T01,総数,002,中国,08000,茨城県,1980000000,1980年,人
168,00700,全域,000,男女総数,T01,総数,002,中国,09000,栃木県,1980000000,1980年,人
265,00700,全域,000,男女総数,T01,総数,002,中国,10000,群馬県,1980000000,1980年,人
875,00700,全域,000,男女総数,T01,総数,002,中国,11000,埼玉県,1980000000,1980年,人
1194,00700,全域,000,男女総数,T01,総数,002,中国,12000,千葉県,1980000000,1980年,人
11055,00700,全域,000,男女総数,T01,総数,002,中国,13000,東京都,1980000000,1980年,人
5140,00700,全域,000,男女総数,T01,総数,002,中国,14000,神奈川県,1980000000,1980年,人
186,00700,全域,000,男女総数,T01,総数,002,中国,15000,新潟県,1980000000,1980年,人
43,00700,全域,000,男女総数,T01,総数,002,中国,16000,富山県,1980000000,1980年,人
80,00700,全域,000,男女総数,T01,総数,002,中国,17000,石川県,1980000000,1980年,人
52,00700,全域,000,男女総数,T01,総数,002,中国,18000,福井県,1980000000,1980年,人
144,00700,全域,000,男女総数,T01,総数,002,中国,19000,山梨県,1980000000,1980年,人
322,00700,全域,000,男女総数,T01,総数,002,中国,20000,長野県,1980000000,1980年,人
181,00700,全域,000,男女総数,T01,総数,002,中国,21000,岐阜県,1980000000,1980年,人
420,00700,全域,000,男女総数,T01,総数,002,中国,22000,静岡県,1980000000,1980年,人
948,00700,全域,000,男女総数,T01,総数,002,中国,23000,愛知県,1980000000,1980年,人
166,00700,全域,000,男女総数,T01,総数,002,中国,24000,三重県,1980000000,1980年,人
124,00700,全域,000,男女総数,T01,総数,002,中国,25000,滋賀県,1980000000,1980年,人
917,00700,全域,000,男女総数,T01,総数,002,中国,26000,京都府,1980000000,1980年,人
5408,00700,全域,000,男女総数,T01,総数,002,中国,27000,大阪府,1980000000,1980年,人
7888,00700,全域,000,男女総数,T01,総数,002,中国,28000,兵庫県,1980000000,1980年,人
252,00700,全域,000,男女総数,T01,総数,002,中国,29000,奈良県,1980000000,1980年,人
329,00700,全域,000,男女総数,T01,総数,002,中国,30000,和歌山県,1980000000,1980年,人
55,00700,全域,000,男女総数,T01,総数,002,中国,31000,鳥取県,1980000000,1980年,人
211,00700,全域,000,男女総数,T01,総数,002,中国,32000,島根県,1980000000,1980年,人
245,00700,全域,000,男女総数,T01,総数,002,中国,33000,岡山県,1980000000,1980年,人
461,00700,全域,000,男女総数,T01,総数,002,中国,34000,広島県,1980000000,1980年,人
166,00700,全域,000,男女総数,T01,総数,002,中国,35000,山口県,1980000000,1980年,人
80,00700,全域,000,男女総数,T01,総数,002,中国,36000,徳島県,1980000000,1980年,人
100,00700,全域,000,男女総数,T01,総数,002,中国,37000,香川県,1980000000,1980年,人
101,00700,全域,000,男女総数,T01,総数,002,中国,38000,愛媛県,1980000000,1980年,人
75,00700,全域,000,男女総数,T01,総数,002,中国,39000,高知県,1980000000,1980年,人
1068,00700,全域,000,男女総数,T01,総数,002,中国,40000,福岡県,1980000000,1980年,人
131,00700,全域,000,男女総数,T01,総数,002,中国,41000,佐賀県,1980000000,1980年,人
669,00700,全域,000,男女総数,T01,総数,002,中国,42000,長崎県,1980000000,1980年,人
398,00700,全域,000,男女総数,T01,総数,002,中国,43000,熊本県,1980000000,1980年,人
326,00700,全域,000,男女総数,T01,総数,002,中国,44000,大分県,1980000000,1980年,人
131,00700,全域,000,男女総数,T01,総数,002,中国,45000,宮崎県,1980000000,1980年,人
435,00700,全域,000,男女総数,T01,総数,002,中国,46000,鹿児島県,1980000000,1980年,人
769,00700,全域,000,男女総数,T01,総数,002,中国,47000,沖縄県,1980000000,1980年,人
18590,00700,全域,000,男女総数,T01,総数,003,アメリカ,00000,全国,1980000000,1980年,人
16971,00700,全域,000,男女総数,T01,総数,003,アメリカ,00001,全国市部,1980000000,1980年,人
1619,00700,全域,000,男女総数,T01,総数,003,アメリカ,00002,全国郡部,1980000000,1980年,人
371,00700,全域,000,男女総数,T01,総数,003,アメリカ,01000,北海道,1980000000,1980年,人
64,00700,全域,000,男女総数,T01,総数,003,アメリカ,02000,青森県,1980000000,1980年,人
62,00700,全域,000,男女総数,T01,総数,003,アメリカ,03000,岩手県,1980000000,1980年,人
162,00700,全域,000,男女総数,T01,総数,003,アメリカ,04000,宮城県,1980000000,1980年,人
26,00700,全域,000,男女総数,T01,総数,003,アメリカ,05000,秋田県,1980000000,1980年,人
57,00700,全域,000,男女総数,T01,総数,003,アメリカ,06000,山形県,1980000000,1980年,人
102,00700,全域,000,男女総数,T01,総数,003,アメリカ,07000,福島県,1980000000,1980年,人
157,00700,全域,000,男女総数,T01,総数,003,アメリカ,08000,茨城県,1980000000,1980年,人
118,00700,全域,000,男女総数,T01,総数,003,アメリカ,09000,栃木県,1980000000,1980年,人
78,00700,全域,000,男女総数,T01,総数,003,アメリカ,10000,群馬県,1980000000,1980年,人
459,00700,全域,000,男女総数,T01,総数,003,アメリカ,11000,埼玉県,1980000000,1980年,人
341,00700,全域,000,男女総数,T01,総数,003,アメリカ,12000,千葉県,1980000000,1980年,人
6827,00700,全域,000,男女総数,T01,総数,003,アメリカ,13000,東京都,1980000000,1980年,人
2230,00700,全域,000,男女総数,T01,総数,003,アメリカ,14000,神奈川県,1980000000,1980年,人
54,00700,全域,000,男女総数,T01,総数,003,アメリカ,15000,新潟県,1980000000,1980年,人
26,00700,全域,000,男女総数,T01,総数,003,アメリカ,16000,富山県,1980000000,1980年,人
38,00700,全域,000,男女総数,T01,総数,003,アメリカ,17000,石川県,1980000000,1980年,人
25,00700,全域,000,男女総数,T01,総数,003,アメリカ,18000,福井県,1980000000,1980年,人
61,00700,全域,000,男女総数,T01,総数,003,アメリカ,19000,山梨県,1980000000,1980年,人
110,00700,全域,000,男女総数,T01,総数,003,アメリカ,20000,長野県,1980000000,1980年,人
63,00700,全域,000,男女総数,T01,総数,003,アメリカ,21000,岐阜県,1980000000,1980年,人
211,00700,全域,000,男女総数,T01,総数,003,アメリカ,22000,静岡県,1980000000,1980年,人
692,00700,全域,000,男女総数,T01,総数,003,アメリカ,23000,愛知県,1980000000,1980年,人
80,00700,全域,000,男女総数,T01,総数,003,アメリカ,24000,三重県,1980000000,1980年,人
52,00700,全域,000,男女総数,T01,総数,003,アメリカ,25000,滋賀県,1980000000,1980年,人
527,00700,全域,000,男女総数,T01,総数,003,アメリカ,26000,京都府,1980000000,1980年,人
619,00700,全域,000,男女総数,T01,総数,003,アメリカ,27000,大阪府,1980000000,1980年,人
999,00700,全域,000,男女総数,T01,総数,003,アメリカ,28000,兵庫県,1980000000,1980年,人
133,00700,全域,000,男女総数,T01,総数,003,アメリカ,29000,奈良県,1980000000,1980年,人
130,00700,全域,000,男女総数,T01,総数,003,アメリカ,30000,和歌山県,1980000000,1980年,人
36,00700,全域,000,男女総数,T01,総数,003,アメリカ,31000,鳥取県,1980000000,1980年,人
10,00700,全域,000,男女総数,T01,総数,003,アメリカ,32000,島根県,1980000000,1980年,人
87,00700,全域,000,男女総数,T01,総数,003,アメリカ,33000,岡山県,1980000000,1980年,人
393,00700,全域,000,男女総数,T01,総数,003,アメリカ,34000,広島県,1980000000,1980年,人
201,00700,全域,000,男女総数,T01,総数,003,アメリカ,35000,山口県,1980000000,1980年,人
22,00700,全域,000,男女総数,T01,総数,003,アメリカ,36000,徳島県,1980000000,1980年,人
51,00700,全域,000,男女総数,T01,総数,003,アメリカ,37000,香川県,1980000000,1980年,人
68,00700,全域,000,男女総数,T01,総数,003,アメリカ,38000,愛媛県,1980000000,1980年,人
35,00700,全域,000,男女総数,T01,総数,003,アメリカ,39000,高知県,1980000000,1980年,人
407,00700,全域,000,男女総数,T01,総数,003,アメリカ,40000,福岡県,1980000000,1980年,人
37,00700,全域,000,男女総数,T01,総数,003,アメリカ,41000,佐賀県,1980000000,1980年,人
178,00700,全域,000,男女総数,T01,総数,003,アメリカ,42000,長崎県,1980000000,1980年,人
95,00700,全域,000,男女総数,T01,総数,003,アメリカ,43000,熊本県,1980000000,1980年,人
