value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
81938,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,19000,山梨県,1980000000,1980年,人
185493,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,20000,長野県,1980000000,1980年,人
176906,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,21000,岐阜県,1980000000,1980年,人
340731,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,22000,静岡県,1980000000,1980年,人
685024,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,23000,愛知県,1980000000,1980年,人
152504,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,24000,三重県,1980000000,1980年,人
103096,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,25000,滋賀県,1980000000,1980年,人
290227,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,26000,京都府,1980000000,1980年,人
954824,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,27000,大阪府,1980000000,1980年,人
509194,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,28000,兵庫県,1980000000,1980年,人
112466,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,29000,奈良県,1980000000,1980年,人
96826,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,30000,和歌山県,1980000000,1980年,人
53395,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,31000,鳥取県,1980000000,1980年,人
66342,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,32000,島根県,1980000000,1980年,人
161066,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,33000,岡山県,1980000000,1980年,人
252921,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,34000,広島県,1980000000,1980年,人
136449,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,35000,山口県,1980000000,1980年,人
72245,00700,全域,000,総人口,001,男,515,総数（15歳以上）,001,未婚,36000,徳島県,1980000000,1980年,人
