value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
1721,2020_05,就業者数,0,総数,0,総数,0,総数,01430,月形町,2015000000,2015年,人
1043,2020_05,就業者数,0,総数,0,総数,0,総数,01431,浦臼町,2015000000,2015年,人
3232,2020_05,就業者数,0,総数,0,総数,0,総数,01432,新十津川町,2015000000,2015年,人
1470,2020_05,就業者数,0,総数,0,総数,0,総数,01433,妹背牛町,2015000000,2015年,人
1175,2020_05,就業者数,0,総数,0,総数,0,総数,01434,秩父別町,2015000000,2015年,人
1274,2020_05,就業者数,0,総数,0,総数,0,総数,01436,雨竜町,2015000000,2015年,人
998,2020_05,就業者数,0,総数,0,総数,0,総数,01437,北竜町,2015000000,2015年,人
1634,2020_05,就業者数,0,総数,0,総数,0,総数,01438,沼田町,2015000000,2015年,人
3385,2020_05,就業者数,0,総数,0,総数,0,総数,01452,鷹栖町,2015000000,2015年,人
5108,2020_05,就業者数,0,総数,0,総数,0,総数,01453,東神楽町,2015000000,2015年,人
3300,2020_05,就業者数,0,総数,0,総数,0,総数,01454,当麻町,2015000000,2015年,人
1937,2020_05,就業者数,0,総数,0,総数,0,総数,01455,比布町,2015000000,2015年,人
1429,2020_05,就業者数,0,総数,0,総数,0,総数,01456,愛別町,2015000000,2015年,人
2077,2020_05,就業者数,0,総数,0,総数,0,総数,01457,上川町,2015000000,2015年,人
3996,2020_05,就業者数,0,総数,0,総数,0,総数,01458,東川町,2015000000,2015年,人
5216,2020_05,就業者数,0,総数,0,総数,0,総数,01459,美瑛町,2015000000,2015年,人
5708,2020_05,就業者数,0,総数,0,総数,0,総数,01460,上富良野町,2015000000,2015年,人
2571,2020_05,就業者数,0,総数,0,総数,0,総数,01461,中富良野町,2015000000,2015年,人
1287,2020_05,就業者数,0,総数,0,総数,0,総数,01462,南富良野町,2015000000,2015年,人
745,2020_05,就業者数,0,総数,0,総数,0,総数,01463,占冠村,2015000000,2015年,人
1797,2020_05,就業者数,0,総数,0,総数,0,総数,01464,和寒町,2015000000,2015年,人
1808,2020_05,就業者数,0,総数,0,総数,0,総数,01465,剣淵町,2015000000,2015年,人
1765,2020_05,就業者数,0,総数,0,総数,0,総数,01468,下川町,2015000000,2015年,人
2298,2020_05,就業者数,0,総数,0,総数,0,総数,01469,美深町,2015000000,2015年,人
424,2020_05,就業者数,0,総数,0,総数,0,総数,01470,音威子府村,2015000000,2015年,人
990,2020_05,就業者数,0,総数,0,総数,0,総数,01471,中川町,2015000000,2015年,人
800,2020_05,就業者数,0,総数,0,総数,0,総数,01472,幌加内町,2015000000,2015年,人
2172,2020_05,就業者数,0,総数,0,総数,0,総数,01481,増毛町,2015000000,2015年,人
1670,2020_05,就業者数,0,総数,0,総数,0,総数,01482,小平町,2015000000,2015年,人
1645,2020_05,就業者数,0,総数,0,総数,0,総数,01483,苫前町,2015000000,2015年,人
3591,2020_05,就業者数,0,総数,0,総数,0,総数,01484,羽幌町,2015000000,2015年,人
634,2020_05,就業者数,0,総数,0,総数,0,総数,01485,初山別村,2015000000,2015年,人
1459,2020_05,就業者数,0,総数,0,総数,0,総数,01486,遠別町,2015000000,2015年,人
1784,2020_05,就業者数,0,総数,0,総数,0,総数,01487,天塩町,2015000000,2015年,人
1568,2020_05,就業者数,0,総数,0,総数,0,総数,01511,猿払村,2015000000,2015年,人
2118,2020_05,就業者数,0,総数,0,総数,0,総数,01512,浜頓別町,2015000000,2015年,人
897,2020_05,就業者数,0,総数,0,総数,0,総数,01513,中頓別町,2015000000,2015年,人
4574,2020_05,就業者数,0,総数,0,総数,0,総数,01514,枝幸町,2015000000,2015年,人
2196,2020_05,就業者数,0,総数,0,総数,0,総数,01516,豊富町,2015000000,2015年,人
1799,2020_05,就業者数,0,総数,0,総数,0,総数,01517,礼文町,2015000000,2015年,人
1407,2020_05,就業者数,0,総数,0,総数,0,総数,01518,利尻町,2015000000,2015年,人
1623,2020_05,就業者数,0,総数,0,総数,0,総数,01519,利尻富士町,2015000000,2015年,人
1393,2020_05,就業者数,0,総数,0,総数,0,総数,01520,幌延町,2015000000,2015年,人
10119,2020_05,就業者数,0,総数,0,総数,0,総数,01543,美幌町,2015000000,2015年,人
2325,2020_05,就業者数,0,総数,0,総数,0,総数,01544,津別町,2015000000,2015年,人
6579,2020_05,就業者数,0,総数,0,総数,0,総数,01545,斜里町,2015000000,2015年,人
2121,2020_05,就業者数,0,総数,0,総数,0,総数,01546,清里町,2015000000,2015年,人
2746,2020_05,就業者数,0,総数,0,総数,0,総数,01547,小清水町,2015000000,2015年,人
2681,2020_05,就業者数,0,総数,0,総数,0,総数,01549,訓子府町,2015000000,2015年,人
1487,2020_05,就業者数,0,総数,0,総数,0,総数,01550,置戸町,2015000000,2015年,人
2769,2020_05,就業者数,0,総数,0,総数,0,総数,01552,佐呂間町,2015000000,2015年,人
9785,2020_05,就業者数,0,総数,0,総数,0,総数,01555,遠軽町,2015000000,2015年,人
4779,2020_05,就業者数,0,総数,0,総数,0,総数,01559,湧別町,2015000000,2015年,人
1275,2020_05,就業者数,0,総数,0,総数,0,総数,01560,滝上町,2015000000,2015年,人
2095,2020_05,就業者数,0,総数,0,総数,0,総数,01561,興部町,2015000000,2015年,人
552,2020_05,就業者数,0,総数,0,総数,0,総数,01562,西興部村,2015000000,2015年,人
2524,2020_05,就業者数,0,総数,0,総数,0,総数,01563,雄武町,2015000000,2015年,人
3884,2020_05,就業者数,0,総数,0,総数,0,総数,01564,大空町,2015000000,2015年,人
2062,2020_05,就業者数,0,総数,0,総数,0,総数,01571,豊浦町,2015000000,2015年,人
1393,2020_05,就業者数,0,総数,0,総数,0,総数,01575,壮瞥町,2015000000,2015年,人
7149,2020_05,就業者数,0,総数,0,総数,0,総数,01578,白老町,2015000000,2015年,人
2787,2020_05,就業者数,0,総数,0,総数,0,総数,01581,厚真町,2015000000,2015年,人
4428,2020_05,就業者数,0,総数,0,総数,0,総数,01584,洞爺湖町,2015000000,2015年,人
4025,2020_05,就業者数,0,総数,0,総数,0,総数,01585,安平町,2015000000,2015年,人
4496,2020_05,就業者数,0,総数,0,総数,0,総数,01586,むかわ町,2015000000,2015年,人
6598,2020_05,就業者数,0,総数,0,総数,0,総数,01601,日高町,2015000000,2015年,人
2881,2020_05,就業者数,0,総数,0,総数,0,総数,01602,平取町,2015000000,2015年,人
2948,2020_05,就業者数,0,総数,0,総数,0,総数,01604,新冠町,2015000000,2015年,人
6740,2020_05,就業者数,0,総数,0,総数,0,総数,01607,浦河町,2015000000,2015年,人
2335,2020_05,就業者数,0,総数,0,総数,0,総数,01608,様似町,2015000000,2015年,人
2841,2020_05,就業者数,0,総数,0,総数,0,総数,01609,えりも町,2015000000,2015年,人
11441,2020_05,就業者数,0,総数,0,総数,0,総数,01610,新ひだか町,2015000000,2015年,人
22550,2020_05,就業者数,0,総数,0,総数,0,総数,01631,音更町,2015000000,2015年,人
3343,2020_05,就業者数,0,総数,0,総数,0,総数,01632,士幌町,2015000000,2015年,人
2495,2020_05,就業者数,0,総数,0,総数,0,総数,01633,上士幌町,2015000000,2015年,人
3017,2020_05,就業者数,0,総数,0,総数,0,総数,01634,鹿追町,2015000000,2015年,人
3306,2020_05,就業者数,0,総数,0,総数,0,総数,01635,新得町,2015000000,2015年,人
4878,2020_05,就業者数,0,総数,0,総数,0,総数,01636,清水町,2015000000,2015年,人
9784,2020_05,就業者数,0,総数,0,総数,0,総数,01637,芽室町,2015000000,2015年,人
2110,2020_05,就業者数,0,総数,0,総数,0,総数,01638,中札内村,2015000000,2015年,人
1844,2020_05,就業者数,0,総数,0,総数,0,総数,01639,更別村,2015000000,2015年,人
3111,2020_05,就業者数,0,総数,0,総数,0,総数,01641,大樹町,2015000000,2015年,人
3631,2020_05,就業者数,0,総数,0,総数,0,総数,01642,広尾町,2015000000,2015年,人
13456,2020_05,就業者数,0,総数,0,総数,0,総数,01643,幕別町,2015000000,2015年,人
3287,2020_05,就業者数,0,総数,0,総数,0,総数,01644,池田町,2015000000,2015年,人
1749,2020_05,就業者数,0,総数,0,総数,0,総数,01645,豊頃町,2015000000,2015年,人
3823,2020_05,就業者数,0,総数,0,総数,0,総数,01646,本別町,2015000000,2015年,人
3541,2020_05,就業者数,0,総数,0,総数,0,総数,01647,足寄町,2015000000,2015年,人
1259,2020_05,就業者数,0,総数,0,総数,0,総数,01648,陸別町,2015000000,2015年,人
2663,2020_05,就業者数,0,総数,0,総数,0,総数,01649,浦幌町,2015000000,2015年,人
10249,2020_05,就業者数,0,総数,0,総数,0,総数,01661,釧路町,2015000000,2015年,人
5547,2020_05,就業者数,0,総数,0,総数,0,総数,01662,厚岸町,2015000000,2015年,人
3746,2020_05,就業者数,0,総数,0,総数,0,総数,01663,浜中町,2015000000,2015年,人
3972,2020_05,就業者数,0,総数,0,総数,0,総数,01664,標茶町,2015000000,2015年,人
3960,2020_05,就業者数,0,総数,0,総数,0,総数,01665,弟子屈町,2015000000,2015年,人
1235,2020_05,就業者数,0,総数,0,総数,0,総数,01667,鶴居村,2015000000,2015年,人
3926,2020_05,就業者数,0,総数,0,総数,0,総数,01668,白糠町,2015000000,2015年,人
8614,2020_05,就業者数,0,総数,0,総数,0,総数,01691,別海町,2015000000,2015年,人
12740,2020_05,就業者数,0,総数,0,総数,0,総数,01692,中標津町,2015000000,2015年,人
2900,2020_05,就業者数,0,総数,0,総数,0,総数,01693,標津町,2015000000,2015年,人
3222,2020_05,就業者数,0,総数,0,総数,0,総数,01694,羅臼町,2015000000,2015年,人
640754,2020_05,就業者数,0,総数,0,総数,0,総数,02000,青森県,2015000000,2015年,人
134080,2020_05,就業者数,0,総数,0,総数,0,総数,02201,青森市,2015000000,2015年,人
